Id_1,Id_2,Id_3,Me_1
A,A,2010-S1,"hi"
A,A,2011-S1,"hi"
A,A,2012-S1,
A,A,2010,
A,A,2010-Q1,
A,A,2010-Q2,
A,A,2010-Q3,
A,A,2010-Q4,
A,A,2011,
A,A,2011-Q1,
A,A,2011-Q2,
A,A,2011-Q3,
A,A,2011-Q4,
A,A,2012,
A,A,2012-Q1,
A,A,2012-Q2,
A,A,2012-Q3,
A,A,2012-Q4,
A,T,2010-Q1,
A,T,2010-Q2,
A,T,2010-Q3,
A,T,2010-Q4,"hi"
A,T,2011-Q1,
A,T,2011-Q2,"hello!"
A,T,2011-Q3,
A,T,2011-Q4,
A,T,2012-Q1,
A,T,2012-Q2,
A,T,2012-Q3,
A,T,2012-Q4,
A,Z,2010,"hello world"
A,Z,2011,
A,Z,2012,"say hello"
A,Z,2010-Q1,"he"
A,Z,2010-Q2,"hi, hello!"
A,Z,2010-Q3,
A,Z,2010-Q4,
A,Z,2011-Q1,
A,Z,2011-Q2,
A,Z,2011-Q3,
A,Z,2011-Q4,
A,Z,2012-Q1,
A,Z,2012-Q2,
A,Z,2012-Q3,
A,Z,2012-Q4,
A,T,2010,
A,T,2010-S1,
A,T,2011,
A,T,2011-S1,
A,T,2012,
A,T,2012-S1,
A,Z,2010-S1,
A,Z,2011-S1,
A,Z,2012-S1,
