CNTRCT_ID,INSTRMNT_ID,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,PRTCTN_ID,THRD_PRTY_PRRTY_CLMS,OBSRVD_AGNT_CD,DT_RFRNC
C_OA31_1,I_OA31_1,,,100,P_OA31_1,100,EEAS_OA33,2019-09-30
C_OA31_2,I_OA31_2,,,100,P_OA31_2,100,EEAS_OA33,2019-09-30
C_OA31_3,I_OA31_3,,,100,P_OA31_3,100,EEAS_OA33,2019-09-30
C_OA31_4,I_OA31_4,,,100,P_OA31_4,100,EEAS_OA33,2019-09-30
C_OA31_5,I_OA31_5,,,100,P_OA31_5,100,EEAS_OA33,2019-09-30
C_OA31_6,I_OA31_6,,,100,P_OA31_6,100,EEAS_OA33,2019-09-30
C_OA31_7,I_OA31_7,,,100,P_OA31_7,100,EEAS_OA33,2019-09-30
C_OA31_8,I_OA31_8,,,100,P_OA31_8,100,EEAS_OA33,2019-09-30
C_OA31_9,I_OA31_9,,,100,P_OA31_9,100,EEAS_OA33,2019-09-30
C_OA31_10,I_OA31_10,,,100,P_OA31_10,100,EEAS_OA33,2019-09-30
C_OA31_11,I_OA31_11,,,100,P_OA31_11,100,EEAS_OA33,2019-09-30
C_OA31_12,I_OA31_12,,,100,P_OA31_12,100,EEAS_OA33,2019-09-30
C_OA31_13,I_OA31_13,,,100,P_OA31_13,0,EEAS_OA33,2019-09-30
C_OA31_14,I_OA31_14,,,,P_OA31_14,,EEAS_OA33,2019-09-30
C_OA31_15,I_OA31_15,-5,-5,,P_OA31_15,,EEAS_OA33,2019-09-30
C_OA31_16,I_OA31_16,,,,P_OA31_16,,EEAS_OA33,2019-09-30
C_OA31_17,I_OA31_17,,,100,P_OA31_17,100,EEAS_OA33,2019-09-30
