CNTRCT_ID,CNT_3PPC,DT_RFRNC,INSTRMNT_ID,MX_3PPC,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,NMBR_INSTRMNT_SCRD,OBSRVD_AGNT_CD,PRTCTN_ALLCTD_VL,PRTCTN_ID,THRD_PRTY_PRRTY_CLMS
CCNTR_34,18,2019-09-30,CINSTR_34,,,,18,EEAS_OA30,3375000.0,GUA_1,0
CCNTR_35,18,2019-09-30,CINSTR_35,,,,18,EEAS_OA30,3375000.0,GUA_1,0
CCNTR_41,1,2019-09-30,CINSTR_41,,,,18,EEAS_OA30,500000.0,GUA_11,0
CCNTR_42,1,2019-09-30,CINSTR_42,,,,18,EEAS_OA30,500000.0,GUA_12,0
CCNTR_43,2,2019-09-30,CINSTR_43,,,,18,EEAS_OA30,500000.0,GUA_13,0
CCNTR_44,2,2019-09-30,CINSTR_44,,,,18,EEAS_OA30,500000.0,GUA_13,0
CCNTR_44,1,2019-09-30,CINSTR_44,,,,18,EEAS_OA30,10050.0,GUA_14,0
CCNTR_46,6,2019-09-30,CINSTR_46,,,,1,EEAS_OA30,36000000.0,GUA_15,0
CCNTR_46,6,2019-09-30,CINSTR_46,,,,1,EEAS_OA30,36000000.0,G_CN0960b,0
CCNTR_47,6,2019-09-30,CINSTR_47,,,,3,EEAS_OA30,36000000.0,GUA_15,0
CCNTR_47,6,2019-09-30,CINSTR_47,,,,1,EEAS_OA30,36000000.0,G_CN0960b,0
CCNTR_48,3,2019-09-30,CINSTR_48,,,,1,EEAS_OA30,36000000.0,G_CN0960a,0
CCNTR_49,3,2019-09-30,CINSTR_49,,,,1,EEAS_OA30,36000000.0,G_CN0960a,0
CCNTR_51,4,2019-09-30,CINSTR_51,,,,1,EEAS_OA30,2000000.0,GUA_17,0
CCNTR_58,6,2019-09-30,CINSTR_58,,,,2,EEAS_OA30,36000000.0,GUA_15,0
CCNTR_58,6,2019-09-30,CINSTR_58,,,,1,EEAS_OA30,36000000.0,G_CN0960b,0
CCNTR_59,6,2019-09-30,CINSTR_59,,,,2,EEAS_OA30,36000000.0,GUA_15,0
CCNTR_59,6,2019-09-30,CINSTR_59,,,,6,EEAS_OA30,36000000.0,G_CN0960b,0
CCNTR_65,1,2019-09-30,CINSTR_65,,,,6,EEAS_OA30,2000000.0,G_THRD_PRTY_PRRTY_CLMS,0
CCNTR_66,4,2019-09-30,CINSTR_66,,,,6,EEAS_OA30,2000000.0,GUA_17,0
CCNTR_67,4,2019-09-30,CINSTR_67,,,,6,EEAS_OA30,2000000.0,GUA_17,0
CCNTR_68,1,2019-09-30,CINSTR_68,,,,6,EEAS_OA30,36000000.0,GUA_20,0
CCNTR_68,1,2019-09-30,CINSTR_68,,,,6,EEAS_OA30,36000000.0,GUA_21,0
CCNTR_74,3,2019-09-30,CINSTR_74,,,,6,EEAS_OA30,100.0,GUA_2,0
