OBSRVD_AGNT_ID,DT_RFRNC,CNTRCT_ID,INSTRMNT_ID,CRDTR_ID,DBTR_ID,CV_3PPC,CV_ACCMLTD_CHNGS_FV_CR,CV_ACCMLTD_IMPRMNT,CV_ACCMLTD_WRTFFS,CV_ACCRD_INTRST,CV_ARRRS,CV_CHNGS_FV_CR_BFR_PRCHS,CV_CMLTV_RCVRS_SNC_DFLT,CV_CMMTMNT_INCPTN,CV_CRRYNG_AMNT,CV_OFF_BLNC_SHT_AMNT,CV_OTSTNDNG_NMNL_AMNT,CV_PRTCTN_ALLCTD_VL,CV_PRVSNS_OFF_BLNC_SHT,DV_3PPC,DV_ACCMLTD_CHNGS_FV_CR,DV_ACCMLTD_IMPRMNT,DV_ACCMLTD_WRTFFS,DV_ACCRD_INTRST,DV_ARRRS,DV_CHNGS_FV_CR_BFR_PRCHS,DV_CMLTV_RCVRS_SNC_DFLT,DV_CMMTMNT_INCPTN,DV_CRRYNG_AMNT,DV_OFF_BLNC_SHT_AMNT,DV_OTSTNDNG_NMNL_AMNT,DV_PRTCTN_ALLCTD_VL,DV_PRVSNS_OFF_BLNC_SHT,PRFRMNG_STTS
20642001,2016-10-1,C_A,I_1,20642001,20642219,0,,10000,5000,200,0,,,300000,80000,,90000,8000,,0,,10000,5000,200,0,,,300000,80000,,90000,8000,,1
20642001,2016-10-1,C_B,I_2,20642001,20642202,500,,0,0,100,0,,,15000,10000,2500,10000,2500,,500,,0,0,100,0,,,15000,10000,2500,10000,2500,,11
20642001,2016-10-1,C_C,I_3,20642101,20642218,0,,,,200,0,,,300000,,,90000,91500,,0,,,,200,0,,,300000,,,90000,91500,,11
20642001,2016-10-1,C_E,I_5,20642001,20642205,100000,,0,0,200,100,,,300000,89090,,90000,85000,,100000,,0,0,200,100,,,300000,89090,,90000,85000,,11
20642001,2016-10-1,C_F,I_6,20642001,20642203,0,,0,0,20.83333333,0,,,8333.333333,133333.3333,,33333.33333,16666.66667,,0,,0,0,31.25,0,,,12500,200000,,50000,25000,,11
20642001,2016-10-1,C_F,I_6,20642001,20642201,0,,0,0,10.41666667,0,,,4166.666667,66666.66667,,16666.66667,8333.333333,,0,,0,0,15.625,0,,,6250,100000,,25000,12500,,11
20642001,2016-10-1,C_F,I_6,20642101,20642203,0,,,,31.25,0,,,12500,,,50000,25000,,0,,,,46.875,0,,,18750,,,75000,37500,,11
20642001,2016-10-1,C_F,I_6,20642101,20642201,0,,,,15.625,0,,,6250,,,25000,12500,,0,,,,23.4375,0,,,9375,,,37500,18750,,11
20642001,2016-10-1,C_G,I_7,20642001,20642203,7000,,0,0,17.5,0,,,350,5000,35,3500,3500,,7000,,0,0,17.5,0,,,350,5000,35,3500,3500,,11
20642001,2016-10-1,C_G,I_7,20642001,20642201,7000,,0,0,17.5,0,,,350,5000,35,3500,3500,,7000,,0,0,17.5,0,,,350,5000,35,3500,3500,,11
20642001,2016-10-1,C_G,I_7,20642102,20642203,1500,,,,3.75,0,,,75,,7.5,750,750,,1500,,,,3.75,0,,,75,,7.5,750,750,,11
20642001,2016-10-1,C_G,I_7,20642102,20642201,1500,,,,3.75,0,,,75,,7.5,750,750,,1500,,,,3.75,0,,,75,,7.5,750,750,,11
