TRANSFORMATION_SCHEME_ID	TRANSFORMATION_ID	ORDER	EXPRESSION	Validation result
APPLY_HIERARCHIES_AND_AGGREGATION_1	APPLY_HIERARCHIES_AND_AGGREGATION_1_0	0	"/*Application of hierarchies and derivation of combinations for the given input dataset*/create function APPLY_HIERARCHIES_AND_AGGREGATION(INPT_CB) {
returns 
hierarchiesAndAggregation(INPT_CB)
as dataset
}"	
APPLY_INVERSE_MAPPINGS_1	APPLY_INVERSE_MAPPINGS_1_0	0	"/*Returns a cube that is the result of the application of mappings in reverse order*/create function APPLY_INVERSE_MAPPINGS(INPT_CB) {
returns 
inverseMap(INPT_CB)
as dataset
}"	
CHCK_AC_RPRTNG_RQRMNTS_1	CHCK_AC_RPRTNG_RQRMNTS_1_0	0	"/**/define procedure CHCK_AC_RPRTNG_RQRMNTS(input LNS_E as dataset, input INSTRMNTS_CSTMRS_E as dataset, input INSTRMNTS_CRDTRS_E as dataset, input CNTRPRTS_E as dataset, input VARIABLE_NAME as string, output RSLT as dataset) {
/*A set containing all Instrument unique identifiers (INSTRMNT_UNQ_ID)*/ALL_LNS := LNS_E [keep(INSTRMNT_UNQ_ID)];

/*Extraction of instruments, servicers*/INSTRMNTS_SRVCRS_AC := INSTRMNTS_SRVCRS_E [filter(CNTRPRTY_ID in (ENTTS_LGL_ENTTY_MMBR_STT))];
/*Extract all serviced instruments*/INSTRMNTS_SRVCRS_INSTRMNTS_AC := INSTRMNTS_SRVCRS_AC [keep(INSTRMNT_UNQ_ID)];
/*For serviced instruments we add the debtor of these instruments*/SRVD_INSTRMNTS_MMB_STT := [INSTRMNTS_SRVCRS_INSTRMNTS_AC, INSTRMNTS_CSTMRS_E on INSTRMNT_UNQ_ID];
/*see AnaCredit regulation, Article 4, 1.(a) (iv) (i)*/SRVD_INTRNL_INSTRMNTS_AC := SRVD_INSTRMNTS_MMB_STT [filter(CNTRPRTY_ID in (ENTTS_LGL_ENTTY))];
/*A set of instruments that meet the requirements described in the AnaCredit regulation, Article 4, 1.(a) (iv) (i)*/SRVD_INTRNL_INSTRMNTS_AC := SRVD_INTRNL_INSTRMNTS_AC [keep(INSTRMNT_UNQ_ID)];
/*Joining with creditors */SRVD_INSTRMNTS_NT_HLD_BY_CI := [SRVD_INSTRMNTS_MMB_STT, INSTRMNTS_CRDTRS_E on INSTRMNT_UNQ_ID] {keep(A.ALL_VARIABLES, B.CNTRPRTY_ID as ""CRDTR_ID"")};
/*Identification of serviced instruments where the creditor is not a credit institution and resident in a reporting Member state, see AnaCredit regulation, Article 4, 1.(a) (iv) (ii)*/SRVD_INSTRMNTS_NT_HLD_BY_CI := SRVD_INSTRMNTS_NT_HLD_BY_CI [filter(INSTTTNL_SCTR not in (""S122_A"") and CNTRY in (ANCRDT_CNTRS_OTHR))];
/*A set of instruments that meet the requirements described in the AnaCredit regulation, Article 4, 1.(a) (iv) (ii)*/SRVD_INSTRMNTS_NT_HLD_BY_CI := SRVD_INSTRMNTS_NT_HLD_BY_CI [keep(INSTRMNT_UNQ_ID)];
/*A set of Instrument unique identifiers (INSTRMNT_UNQ_ID) of instruments that meet the criteria described in the AnaCredit regulation, Article 4, 1.(a) (iv)*/SRVD_INSTRMNTS_AC := union(SRVD_INTRNL_INSTRMNTS_AC, SRVD_INSTRMNTS_NT_HLD_BY_CI);

/*Extraction of instruments, debtors*/INSTRMNTS_DBTRS_AC := INSTRMNTS_CSTMRS_E;
/*Enrichment with (related) instrument information*/INSTRMNTS_DBTRS_AC := [INSTRMNTS_DBTRS_AC, LNS_E on INSTRMNT_UNQ_ID];
/*Enrichment with (related) counterparty information*/INSTRMNTS_DBTRS_AC := [INSTRMNTS_DBTRS_AC, CNTRPRS_E on CNTRPRTY_ID];
/*Filter for eligible counterparties*/INSTRMNTS_DBTRS_AC := INSTRMNTS_DBTRS_AC [filter(IS_ELGBL_CNTRPRTY = ""T"")];
/*Filter for instruments that are (in general) eligible for AnaCredit*/INSTRMNTS_DBTRS_AC := INSTRMNTS_DBTRS_AC [filter(TYP_INSTRMNT in (INSTRMNTS_ELGBL_AC))];
/*Create dataset comprising amounts per counterparty*/AMNTS_PR_CNTRPRTY := INSTRMNTS_DBTRS_AC [keep(CNTRPRTY_ID, TYP_INSTRMNT, OFF_BLNC_SHT_AMNT, OTSTNDNG_NMNL_AMNT, ACCMLTD_WRTFFS)];
/*Add the Off-balance sheet amount (OFF_BLNC_SHT_AMNT) and the Outstanding nominal amount (OTSTNDNG_NMNL_AMNT)*/AMNTS_PR_CNTRPRTY := AMNTS_PR_CNTRPRTY [calc (OFF_BLNC_SHT_AMNT + OTSTNDNG_NMNL_AMNT) as ""ACCMLTD_AMNT""];
/*Apply threshold*/AMNTS_PR_CNTRPRTY := AMNTS_PR_CNTRPRTY [filter(ACCMLTD_AMNT >= THRSHLD_AC)];
/*Connect the Amounts per counterparty (AMNTS_PR_CNTRPRTY) with the instruments in order to identifiy those instruments that meet the criteria described in the AnaCredit regulation, Article 4, 1.(a) (i)-(iii)*/INSTRMNTS_DBTRS_AC := [INSTRMNTS_DBTRS_AC, AMNTS_PR_CNTRPRTY on CNTRPRTY_ID];
/*A set of Instrument unique identifiers (INSTRMNT_UNQ_ID) of instruments that meet the criteria described in the AnaCredit regulation, Article 4, 1.(a) (i)-(iii)*/INSTRMNTS_DBTRS_AC := INSTRMNTS_DBTRS_AC[keep(INSTRMNT_UNQ_ID)];

/*A set of Instrument unique identifiers (INSTRMNT_UNQ_ID) of instruments that meet the criteria described in the AnaCredit regulation, Article 4, 1.(a)*/INSTRMNTS_TBR_AC := union(SRVD_INSTRMNTS_AC, INSTRMNTS_DBTRS_AC);
/*Identification of all instruments that do not need to be reported w.r.t. AnaCredit*/INSTRMNTS_NTBR_AC := setdiff(ALL_LNS, INSTRMNTS_TBR_AC);
/*Set the variable VARIABLE_NAME (see input of this procedure) to 'False (F)'*/INSTRMNTS_NTBR_AC := INSTRMNTS_NTBR_AC [calc ""F"" as ""VARIABLE_NAME""];
/*Set the variable VARIABLE_NAME (see input of this procedure) to 'True (T)'*/INSTRMNTS_TBR_AC := INSTRMNTS_TBR_AC [calc ""T"" as ""VARIABLE_NAME""];

RSLT := union(INSTRMNTS_TBR_AC, INSTRMNTS_NTBR_AC);
}"	
DB_ADVNCS_NT_LNS_1	DB_ADVNCS_NT_LNS_1_0	0	"/*Extract the content of the cube 'Advances (that are not loans) (ADVNCS_NT_LNS)' and store it in the data set named 'ADVNCS_NT_LNS'*/ADVNCS_NT_LNS := GT_CB_VLD_AT(""ADVNCS_NT_LNS"", DT_RFRNC)"	
DB_ADVNCS_NT_LNS_E_1	DB_ADVNCS_NT_LNS_E_1_0	0	"/*Write the data set 'Advances (that are not loans) - enriched (ADVNCS_NT_LNS_E)' to the data base*/ADVNCS_NT_LNS_E := put(ADVNCS_NT_LNS_E, ""ADVNCS_NT_LNS_E"")"	
DB_ANCRDT_ACCNTNG_C_1	DB_ANCRDT_ACCNTNG_C_1_0	0	"/*Write the data set 'Accounting (ANCRDT_ACCNTNG_C)' to the data base*/ANCRDT_ACCNTNG_C := put(ANCRDT_ACCNTNG_C, ""ANCRDT_ACCNTNG_C"")"	
DB_ANCRDT_ENTTY_DFLT_C_1	DB_ANCRDT_ENTTY_DFLT_C_1_0	0	"/*Write the data set 'Counterparty default (ANCRDT_ENTTY_DFLT_C)' to the data base*/ANCRDT_ENTTY_DFLT_C := put(ANCRDT_ENTTY_DFLT_C, ""ANCRDT_ENTTY_DFLT_C"")"	
DB_ANCRDT_ENTTY_INSTRMNT_C_1	DB_ANCRDT_ENTTY_INSTRMNT_C_1_0	0	"/*Write the data set 'Counterparty-instrument (ANCRDT_ENTTY_INSTRMNT_C)' to the data base*/ANCRDT_ENTTY_INSTRMNT_C := put(ANCRDT_ENTTY_INSTRMNT_C, ""ANCRDT_ENTTY_INSTRMNT_C"")"	
DB_ANCRDT_ENTTY_RSK_C_1	DB_ANCRDT_ENTTY_RSK_C_1_0	0	"/*Write the data set 'Counterparty risk (ANCRDT_ENTTY_RSK_C)' to the data base*/ANCRDT_ENTTY_RSK_C := put(ANCRDT_ENTTY_RSK_C, ""ANCRDT_ENTTY_RSK_C"")"	
DB_ANCRDT_FNNCL_C_1	DB_ANCRDT_FNNCL_C_1_0	0	"/*Write the data set 'Financial (ANCRDT_FNNCL_C)' to the data base*/ANCRDT_FNNCL_C := put(ANCRDT_FNNCL_C, ""ANCRDT_FNNCL_C"")"	
