CNTRCT_ID,ENTTY_RIAD_CD,ENTTY_RL,INSTRMNT_ID,OBSRVD_AGNT_CD,DT_RFRNC
C_0,AT_Bank,1,I_0,AT_Bank,2019-06-30
C_0,AL0ECBM00067,2,I_0,AT_Bank,2019-06-30
C_0,AT_Bank,7,I_0,AT_Bank,2019-06-30
1D_ONA_null,AL0ECBM00067,2,JLA_null,AT_Bank,2019-06-30
1D_ONA_0,AL0ECBM00067,2,JLA_null,AT_Bank,2019-06-30
1D_ONA_OK,AL0ECBM00067,2,JLA_null,AT_Bank,2019-06-30
1D_ONA_null,AL0ECBM00067,2,JLA_0,AT_Bank,2019-06-30
1D_ONA_0,AL0ECBM00067,2,JLA_0,AT_Bank,2019-06-30
1D_ONA_OK,AL0ECBM00067,2,JLA_0,AT_Bank,2019-06-30
1D_ONA_OK,AL0ECBM00067,2,JLA_smaller,AT_Bank,2019-06-30
1D_ONA_OK,AL0ECBM00067,2,JLA_equal,AT_Bank,2019-06-30
1D_ONA_OK,AL0ECBM00067,2,JLA_greater,AT_Bank,2019-06-30
2D_ONA_null,AL0ECBM00067,2,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_0,AL0ECBM00067,2,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_OK,AL0ECBM00067,2,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_null,AL0ECBM00067,2,JLA_0_1,AT_Bank,2019-06-30
2D_ONA_0,AL0ECBM00067,2,JLA_0_1,AT_Bank,2019-06-30
2D_ONA_OK,AL0ECBM00067,2,JLA_0_1,AT_Bank,2019-06-30
3D_ONA_OK,AL0ECBM00067,2,JLA_smaller_1,AT_Bank,2019-06-30
3D_ONA_OK,AL0ECBM00067,2,JLA_equal_1,AT_Bank,2019-06-30
3D_ONA_OK,AL0ECBM00067,2,JLA_greater_1,AT_Bank,2019-06-30
3D_ONA_null,AL0ECBM00067,2,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_0,AL0ECBM00067,2,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_OK,AL0ECBM00067,2,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_null,AL0ECBM00067,2,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_0,AL0ECBM00067,2,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_OK,AL0ECBM00067,2,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_OK,AL0ECBM00067,2,JLA_smaller_all,AT_Bank,2019-06-30
3D_ONA_OK,AL0ECBM00067,2,JLA_equal_all,AT_Bank,2019-06-30
3D_ONA_OK,AL0ECBM00067,2,JLA_greater_all,AT_Bank,2019-06-30
2D_ONA_null,EEAS_OA25,2,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_0,EEAS_OA25,2,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_OK,EEAS_OA25,2,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_null,EEAS_OA25,2,JLA_0_1,AT_Bank,2019-06-30
2D_ONA_0,EEAS_OA25,2,JLA_0_1,AT_Bank,2019-06-30
2D_ONA_OK,EEAS_OA25,2,JLA_0_1,AT_Bank,2019-06-30
3D_ONA_OK,EEAS_OA25,2,JLA_smaller_1,AT_Bank,2019-06-30
3D_ONA_OK,EEAS_OA25,2,JLA_equal_1,AT_Bank,2019-06-30
3D_ONA_OK,EEAS_OA25,2,JLA_greater_1,AT_Bank,2019-06-30
3D_ONA_null,EEAS_OA25,2,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_0,EEAS_OA25,2,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_OK,EEAS_OA25,2,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_null,EEAS_OA25,2,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_0,EEAS_OA25,2,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_OK,EEAS_OA25,2,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_OK,EEAS_OA25,2,JLA_smaller_all,AT_Bank,2019-06-30
3D_ONA_OK,EEAS_OA25,2,JLA_equal_all,AT_Bank,2019-06-30
3D_ONA_OK,EEAS_OA25,2,JLA_greater_all,AT_Bank,2019-06-30
1D_ONA_null,AT_Bank,1,JLA_null,AT_Bank,2019-06-30
1D_ONA_0,AT_Bank,1,JLA_null,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,1,JLA_null,AT_Bank,2019-06-30
1D_ONA_null,AT_Bank,1,JLA_0,AT_Bank,2019-06-30
1D_ONA_0,AT_Bank,1,JLA_0,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,1,JLA_0,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,1,JLA_smaller,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,1,JLA_equal,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,1,JLA_greater,AT_Bank,2019-06-30
2D_ONA_null,AT_Bank,1,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_0,AT_Bank,1,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_OK,AT_Bank,1,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_null,AT_Bank,1,JLA_0_1,AT_Bank,2019-06-30
2D_ONA_0,AT_Bank,1,JLA_0_1,AT_Bank,2019-06-30
2D_ONA_OK,AT_Bank,1,JLA_0_1,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,1,JLA_smaller_1,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,1,JLA_equal_1,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,1,JLA_greater_1,AT_Bank,2019-06-30
3D_ONA_null,AT_Bank,1,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_0,AT_Bank,1,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,1,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_null,AT_Bank,1,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_0,AT_Bank,1,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,1,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,1,JLA_smaller_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,1,JLA_equal_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,1,JLA_greater_all,AT_Bank,2019-06-30

