OBS_VALUE,ENTTY_RIAD_CD,TYP_RQST,CONF,VLD_FRM,UNIT,SOURCE,VLD_T
1000,"EEAS_OA25","UPDATE","N",2016-01-01,"","STAT","9999-12-31"
1000,"EEAS_OA30","UPDATE","N",2016-01-01,"","STAT",9999-12-31
1001,"ITTS_ENT_40","UPDATE","N",2016-01-01,"","STAT",9999-12-31
1001,"ITTS_ENT_41","UPDATE","N",2016-01-01,"","STAT",9999-12-31
1001,"ITTS_ENT_42","UPDATE","N",2016-01-01,"","STAT",9999-12-31
1001,"ITTS_ENT_43","UPDATE","N",2016-01-01,"","STAT",9999-12-31
1001,"ITTS_ENT_49","UPDATE","N",2016-01-01,"","STAT",9999-12-31
1001,"ITTS_ENT_60","UPDATE","N",2016-01-01,"","STAT",9999-12-31
1001,"ITTS_ENT_61","UPDATE","N",2016-01-01,"","STAT",9999-12-31
1001,"ITTS_ENT_62","UPDATE","N",2016-01-01,"","STAT",9999-12-31
1001,"ITTS_ENT_63","UPDATE","N",2016-01-01,"","STAT",9999-12-31
