SOURCE,OBS_VALUE,ENTTY_RIAD_CD,TYP_RQST,CONF,VLD_FRM,INSTTTNL_SCTR_DTL,VLD_T
"STAT","S125","AL0ECBM00067","UPDATE","F",2009-05-31,"S125_D",9999-12-31
"STAT","S122","AT_Bank","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","EEAS_OA25","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","EEAS_OA30","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","FIAS_OA_BRA","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","ITTS_ENT_40","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","ITTS_ENT_41","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","ITTS_ENT_42","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","ITTS_ENT_43","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","ITTS_ENT_49","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","ITTS_ENT_60","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","ITTS_ENT_61","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","ITTS_ENT_62","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","ITTS_ENT_63","UPDATE","N",2016-01-01,"S122_A",9999-12-31
"STAT","S122","LVAS_OA_BRA","UPDATE","N",2016-01-01,"S122_A",9999-12-31
