TYP_RQST,CONF,VLD_FRM,SOURCE,OBS_VALUE,VLD_T,ENTTY_RIAD_CD
"UPDATE","N",2016-01-01,"STAT","EE206",9999-12-31,"EEAS_OA25"
"UPDATE","N",2016-01-01,"STAT","EE206",9999-12-31,"EEAS_OA30"
"UPDATE","N",2016-01-01,"STAT","FI99",9999-12-31,"FIAS_OA_BRA"
"UPDATE","N",2016-01-01,"STAT","IT999",9999-12-31,"ITTS_ENT_40"
"UPDATE","N",2016-01-01,"STAT","IT999",9999-12-31,"ITTS_ENT_41"
"UPDATE","N",2016-01-01,"STAT","IT999",9999-12-31,"ITTS_ENT_42"
"UPDATE","N",2016-01-01,"STAT","IT999",9999-12-31,"ITTS_ENT_43"
"UPDATE","N",2016-01-01,"STAT","IT999",9999-12-31,"ITTS_ENT_49"
"UPDATE","N",2016-01-01,"STAT","IT999",9999-12-31,"ITTS_ENT_60"
"UPDATE","N",2016-01-01,"STAT","IT999",9999-12-31,"ITTS_ENT_61"
"UPDATE","N",2016-01-01,"STAT","IT999",9999-12-31,"ITTS_ENT_62"
"UPDATE","N",2016-01-01,"STAT","IT999",9999-12-31,"ITTS_ENT_63"
"UPDATE","N",2016-01-01,"STAT","LV903",9999-12-31,"LVAS_OA_BRA"
