ENTTY_RIAD_CD,VLD_FRM,VLD_T,DT_INTTN_LGL_PRCDNGS,LGL_PRCDNG_STTS
EEAS_OA25,2016-01-01,2262-04-11,2016-01-01,0
AL0ECBM00067,2009-05-31,2262-04-11,2009-05-31,1
EEAS_OA30,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_40,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_41,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_42,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_43,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_49,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_60,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_61,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_62,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_63,2016-01-01,2262-04-11,2016-01-01,0
