CNTRCT_ID,ENTTY_RIAD_CD,ENTTY_RL,INSTRMNT_ID,OBSRVD_AGNT_CD,DT_RFRNC,JNT_LBLTY_AMNT,NEVS_JNT_LBLTY_AMNT
C_0,AL0ECBM00067,2,I_0,AT_Bank,2019-06-30,,
1D_ONA_null,AL0ECBM00067,2,JLA_null,AT_Bank,2019-06-30,,
1D_ONA_0,AL0ECBM00067,2,JLA_null,AT_Bank,2019-06-30,,
1D_ONA_OK,AL0ECBM00067,2,JLA_null,AT_Bank,2019-06-30,,
1D_ONA_null,AL0ECBM00067,2,JLA_0,AT_Bank,2019-06-30,0.0,
1D_ONA_0,AL0ECBM00067,2,JLA_0,AT_Bank,2019-06-30,0.0,
1D_ONA_OK,AL0ECBM00067,2,JLA_0,AT_Bank,2019-06-30,0.0,
1D_ONA_OK,AL0ECBM00067,2,JLA_smaller,AT_Bank,2019-06-30,400000.0,
1D_ONA_OK,AL0ECBM00067,2,JLA_equal,AT_Bank,2019-06-30,1000000.0,
1D_ONA_OK,AL0ECBM00067,2,JLA_greater,AT_Bank,2019-06-30,2000000.0,
2D_ONA_null,AL0ECBM00067,2,JLA_null_1,AT_Bank,2019-06-30,,
2D_ONA_0,AL0ECBM00067,2,JLA_null_1,AT_Bank,2019-06-30,,
2D_ONA_OK,AL0ECBM00067,2,JLA_null_1,AT_Bank,2019-06-30,,
2D_ONA_null,AL0ECBM00067,2,JLA_0_1,AT_Bank,2019-06-30,0.0,
2D_ONA_0,AL0ECBM00067,2,JLA_0_1,AT_Bank,2019-06-30,0.0,
2D_ONA_OK,AL0ECBM00067,2,JLA_0_1,AT_Bank,2019-06-30,0.0,
3D_ONA_OK,AL0ECBM00067,2,JLA_smaller_1,AT_Bank,2019-06-30,400000.0,
3D_ONA_OK,AL0ECBM00067,2,JLA_equal_1,AT_Bank,2019-06-30,1000000.0,
3D_ONA_OK,AL0ECBM00067,2,JLA_greater_1,AT_Bank,2019-06-30,2000000.0,
3D_ONA_null,AL0ECBM00067,2,JLA_null_all,AT_Bank,2019-06-30,,
3D_ONA_0,AL0ECBM00067,2,JLA_null_all,AT_Bank,2019-06-30,,
3D_ONA_OK,AL0ECBM00067,2,JLA_null_all,AT_Bank,2019-06-30,,
3D_ONA_null,AL0ECBM00067,2,JLA_0_all,AT_Bank,2019-06-30,400000.0,
3D_ONA_0,AL0ECBM00067,2,JLA_0_all,AT_Bank,2019-06-30,1000000.0,
3D_ONA_OK,AL0ECBM00067,2,JLA_0_all,AT_Bank,2019-06-30,2000000.0,
3D_ONA_OK,AL0ECBM00067,2,JLA_smaller_all,AT_Bank,2019-06-30,400000.0,
3D_ONA_OK,AL0ECBM00067,2,JLA_equal_all,AT_Bank,2019-06-30,1000000.0,
3D_ONA_OK,AL0ECBM00067,2,JLA_greater_all,AT_Bank,2019-06-30,2000000.0,
2D_ONA_null,EEAS_OA25,2,JLA_null_1,AT_Bank,2019-06-30,800000.0,
2D_ONA_0,EEAS_OA25,2,JLA_null_1,AT_Bank,2019-06-30,1000000.0,
2D_ONA_OK,EEAS_OA25,2,JLA_null_1,AT_Bank,2019-06-30,2000000.0,
2D_ONA_null,EEAS_OA25,2,JLA_0_1,AT_Bank,2019-06-30,800000.0,
2D_ONA_0,EEAS_OA25,2,JLA_0_1,AT_Bank,2019-06-30,1000000.0,
2D_ONA_OK,EEAS_OA25,2,JLA_0_1,AT_Bank,2019-06-30,2000000.0,
3D_ONA_OK,EEAS_OA25,2,JLA_smaller_1,AT_Bank,2019-06-30,800000.0,
3D_ONA_OK,EEAS_OA25,2,JLA_equal_1,AT_Bank,2019-06-30,600000.0,
3D_ONA_OK,EEAS_OA25,2,JLA_greater_1,AT_Bank,2019-06-30,600000.0,
3D_ONA_null,EEAS_OA25,2,JLA_null_all,AT_Bank,2019-06-30,,
3D_ONA_0,EEAS_OA25,2,JLA_null_all,AT_Bank,2019-06-30,,
3D_ONA_OK,EEAS_OA25,2,JLA_null_all,AT_Bank,2019-06-30,,
3D_ONA_null,EEAS_OA25,2,JLA_0_all,AT_Bank,2019-06-30,0.0,
3D_ONA_0,EEAS_OA25,2,JLA_0_all,AT_Bank,2019-06-30,0.0,
3D_ONA_OK,EEAS_OA25,2,JLA_0_all,AT_Bank,2019-06-30,0.0,
3D_ONA_OK,EEAS_OA25,2,JLA_smaller_all,AT_Bank,2019-06-30,400000.0,
3D_ONA_OK,EEAS_OA25,2,JLA_equal_all,AT_Bank,2019-06-30,1000000.0,
3D_ONA_OK,EEAS_OA25,2,JLA_greater_all,AT_Bank,2019-06-30,1500000.0,
