ENTTY_RIAD_CD,VLD_FRM,VLD_T,DT_LGL_PRCDNG_STTS,LGL_PRCDNG_STTS,DT_RFRNC
EEAS_OA25,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
AL0ECBM00067,2009-05-31,9999-12-31,2009-05-31,1,2019-06-30
EEAS_OA30,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
ITTS_ENT_40,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
ITTS_ENT_41,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
ITTS_ENT_42,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
ITTS_ENT_43,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
ITTS_ENT_49,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
ITTS_ENT_60,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
ITTS_ENT_61,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
ITTS_ENT_62,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
ITTS_ENT_63,2016-01-01,9999-12-31,2016-01-01,0,2019-06-30
