ENTTY_RIAD_CD,VLD_FRM,VLD_T,INSTTTNL_SCTR,INSTTTNL_SCTR_DTL,DT_RFRNC
AL0ECBM00067,2009-05-31,9999-12-31,S125,S125_D,2019-06-30
AT_Bank,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
EEAS_OA25,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
EEAS_OA30,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
FIAS_OA_BRA,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
ITTS_ENT_40,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
ITTS_ENT_41,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
ITTS_ENT_42,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
ITTS_ENT_43,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
ITTS_ENT_49,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
ITTS_ENT_60,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
ITTS_ENT_61,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
ITTS_ENT_62,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
ITTS_ENT_63,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
LVAS_OA_BRA,2016-01-01,9999-12-31,S122,S122_A,2019-06-30
