DFLT_STTS,DT_DFLT_STTS,ENTTY_RIAD_CD,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,OBSRVD_AGNT_CD,DT_RFRNC,PD,NEVS_PD,CNTRY,INSTTTNL_SCTR_DTL,INSTTTNL_SCTR,LGL_FRM,HD_QRTR_CD,SSMSIGNIFICANCE,DT_LGL_PRCDNG_STTS,LGL_PRCDNG_STTS,DT_ENTRPRS_SZ,ENTRPRS_SZ,BLNC_SHT_TTL_CRRNCY,ANNL_TRNVR_CRRNCY,NMBR_EMPLYS,TRRTRL_UNT,IMMDT_PRNT_CD,ULTMT_PRNT_CD,LEI,NM_ENTTY,STRT,CTY,PSTL_CD,ECNMC_ACTVTY,ACCNTNG_FRMWRK_SL,IS_ANCRDT_RPRTNG_AGNT,HD_QRTR_CNTRY
14,2010-07-01,ITTS_ENT_40,,,AT_Bank,2019-06-30,0.01,,IT,S122_A,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Name of TS_ENT_40,Street,City,10000,64,,,
14,2100-01-01,ITTS_ENT_41,,,AT_Bank,2019-06-30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2010-07-01,ITTS_ENT_42,,,AT_Bank,2019-06-30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010-07-02,EEAS_OA30,,,AT_Bank,2019-06-30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010-07-03,FIAS_OA_BRA,,,AT_Bank,2019-06-30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010-07-04,LVAS_OA_BRA,,,AT_Bank,2019-06-30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,ITTS_ENT_49,,0,AT_Bank,2019-06-30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,ITTS_ENT_60,,0,AT_Bank,2019-06-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010-07-01,ITTS_ENT_61,-5,,AT_Bank,2019-06-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010-07-01,ITTS_ENT_62,,,AT_Bank,2019-06-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010-07-01,ITTS_ENT_63,-5,,AT_Bank,2019-06-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010-07-01,ITTS_ENT_410,,,AT_Bank,2019-06-30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010-07-01,ITTS_ENT_420,,,AT_Bank,2019-06-30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010-07-01,ITTS_ENT_43,,,AT_Bank,2019-06-30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010-07-01,ITTS_ENT_CN_CHNGS_OK,,,AT_Bank,2019-06-30,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
