DT_MTRTY_PRTCTN,DT_ORGNL_PRTCTN_VL,DT_PRTCTN_VL,NEVS_RECL_CNTRY,NEVS_RECL_PSTL_CD,NEVS_RECL_TRRTRL_UNT,NEVS_RL_ESTT_CLLTRL_LCTN,ORGNL_PRTCTN_VL,PRTCTN_ID,PRTCTN_PRVDR_CD,PRTCTN_VL,PRTCTN_VLTN_APPRCH,RL_ESTT_CLLTRL_LCTN,TYP_PRTCTN,TYP_PRTCTN_VL,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_DT_PRTCTN_VL,NEVS_DT_MTRTY_PRTCTN,RECL_PSTL_CD,NEVS_TYP_PRTCTN_VL,NEVS_ORGNL_PRTCTN_VL,RECL_CNTRY,NEVS_TYP_PRTCTN,NEVS_PRTCTN_PRVDR_CD,NEVS_PRTCTN_VLTN_APPRCH,RECL_TRRTRL_UNT,NEVS_DT_ORGNL_PRTCTN_VL,NEVS_PRTCTN_VL,MX_THRD_PRTY_PRRTY_CLMS,TTL_PRTCTN_ALLCTD_VL
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_0,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0010_ER1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0230_ER1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0230_OK1,ITTS_ENT_40,200000.0,1,DEA11,4,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0510_ER1,ITTS_ENT_40,200000.0,1,DEA11,4,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0622_ER1,AL0ECBM00067,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2001-01-01,2016-12-01,2106-09-01,0,0,0,,300000.0,P_CN0660_ER1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,0,300000.0,P_CN0831_ER1,ITTS_ENT_40,200000.0,1,,8,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0847_ER1,ITTS_ENT_40,200000.0,1,DEA11,4,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0868_ER1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,300000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0661_ER1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0661_OK1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0811_ER1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0811_OK1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0812_ER1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0812_OK1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0813_ER1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0813_ER2,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN0813_OK1,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,P_CN_CHNGS_OK,ITTS_ENT_40,200000.0,1,DEA11,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
2021-07-01,2016-12-01,2017-04-01,0,0,0,0,300000.0,P_CN0960_ER1,ITTS_ENT_40,200000.0,1,,10,1,AT_Bank,2019-06-30,,,,,,,,,,,,,20000,100000.0
