DT_RFRNC,ENTTY_RIAD_CD,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS
2019-06-30,ITTS_ENT_40,14,2010-07-01,,
2019-06-30,ITTS_ENT_41,14,2100-01-01,,
2019-06-30,ITTS_ENT_42,20,2010-07-01,,
2019-06-30,EEAS_OA30,14,2010-07-02,,
2019-06-30,FIAS_OA_BRA,14,2010-07-03,,
2019-06-30,LVAS_OA_BRA,14,2010-07-04,,
2019-06-30,ITTS_ENT_49,20,,,0
2019-06-30,ITTS_ENT_60,14,,,0
2019-06-30,ITTS_ENT_61,,2010-07-01,-5,
2019-06-30,ITTS_ENT_62,14,2010-07-01,,
2019-06-30,ITTS_ENT_63,,2010-07-01,-5,
2019-06-30,ITTS_ENT_410,14,2010-07-01,,
2019-06-30,ITTS_ENT_420,14,2010-07-01,,
2019-06-30,ITTS_ENT_43,14,2010-07-01,,
2019-06-30,ITTS_ENT_CN_CHNGS_OK,14,2010-07-01,,
