CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,JNT_LBLTY_AMNT,NEVS_JNT_LBLTY_AMNT,CD0060,ruleid,errorcode,errorlevel
1D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,,,False,CT0360,CT0360,2.0
1D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,,,False,CT0360,CT0360,2.0
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,,,False,CT0360,CT0360,2.0
2D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null_1,AT_Bank,,,False,CT0360,CT0360,2.0
2D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null_1,AT_Bank,,,False,CT0360,CT0360,2.0
2D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null_1,AT_Bank,,,False,CT0360,CT0360,2.0
3D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null_all,AT_Bank,,,False,CT0360,CT0360,2.0
3D_ONA_null,2019-06-30,EEAS_OA25,JLA_null_all,AT_Bank,,,False,CT0360,CT0360,2.0
3D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null_all,AT_Bank,,,False,CT0360,CT0360,2.0
3D_ONA_0,2019-06-30,EEAS_OA25,JLA_null_all,AT_Bank,,,False,CT0360,CT0360,2.0
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null_all,AT_Bank,,,False,CT0360,CT0360,2.0
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_null_all,AT_Bank,,,False,CT0360,CT0360,2.0
