CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,CMMTMNT_INCPTN,CRRNCY_DNMNTN,DT_END_INTRST_ONLY,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_CMMTMNT_INCPTN,NEVS_CRRNCY_DNMNTN,NEVS_DT_END_INTRST_ONLY,NEVS_DT_INCPTN,NEVS_DT_LGL_FNL_MTRTY,NEVS_DT_STTLMNT,NEVS_FDCRY,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_FLR,NEVS_INTRST_RT_RST_FRQNCY,NEVS_INTRST_RT_SPRD,NEVS_PRJCT_FNNC_LN,NEVS_PRPS,NEVS_PYMNT_FRQNCY,NEVS_RCRS,NEVS_RFRNC_RT,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_SYNDCTD_CNTRCT_ID,NEVS_TYP_AMRTSTN,NEVS_TYP_INSTRMNT,NEVS_TYP_INTRST_RT,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,SYNDCTD_CNTRCT_ID,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT,CD0020,CD0030,CD0039,CD0040,CD0041,CD0050,CD0060,CD0170,ruleid,errorcode,errorlevel
1D_ONA_null,2019-06-30,JLA_null,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
1D_ONA_0,2019-06-30,JLA_null,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
1D_ONA_OK,2019-06-30,JLA_null,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
1D_ONA_null,2019-06-30,JLA_0,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
1D_ONA_0,2019-06-30,JLA_0,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
1D_ONA_OK,2019-06-30,JLA_0,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
1D_ONA_OK,2019-06-30,JLA_smaller,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
1D_ONA_OK,2019-06-30,JLA_equal,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
1D_ONA_OK,2019-06-30,JLA_greater,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
2D_ONA_null,2019-06-30,JLA_null_1,AT_Bank,2000000,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,2,100,2,2,,3,1004,2,False,False,True,False,False,True,False,False,CT0210,CT0210,2.0
