ENTTY_RIAD_CD,DT_RFRNC,CNTRY,INSTTTNL_SCTR_DTL,INSTTTNL_SCTR,LGL_FRM,HD_QRTR_CD,SSMSIGNIFICANCE,DT_LGL_PRCDNG_STTS,LGL_PRCDNG_STTS,DT_ENTRPRS_SZ,ENTRPRS_SZ,BLNC_SHT_TTL_CRRNCY,ANNL_TRNVR_CRRNCY,NMBR_EMPLYS,TRRTRL_UNT,IMMDT_PRNT_CD,ULTMT_PRNT_CD,LEI,NM_ENTTY,STRT,CTY,PSTL_CD,ECNMC_ACTVTY,ACCNTNG_FRMWRK_SL,IS_ANCRDT_RPRTNG_AGNT,HD_QRTR_CNTRY,CC0010,CC0020,CC0100,CC0101,CC0110,CC0111,CC0120,CC0121,CC0122,CC0130,CC0130A,CC0131,CC0131A,CC0132,CC0132A,CC0140,CC0140B,CC0140C,CC0140A,CC0141,CC0141A,CC0142,CC0142A,CC0150,CC0151,CC0152,CC0160,CC0160A,CC0162,CC0170,CC0170A,CC0172,CC0180,CC0180A,CC0182,CC0190,CC0191,CC0192,CC0200,CC0201,CC0202,ruleid,errorcode,errorlevel
ITTS_ENT_40,2019-06-30,IT,S122_A,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Name of TS_ENT_40,Street,City,10000,64,,,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CY0010_a,CY0010(a),2.0
AT_Bank,2019-06-30,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CY0010_a,CY0010(a),2.0
AT_Bank,2019-06-30,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CY0070,CY0070,2.0
AT_Bank,2019-06-30,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CY0080,CY0080,2.0
ITTS_ENT_40,2019-06-30,IT,S122_A,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Name of TS_ENT_40,Street,City,10000,64,,,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CY0090,CY0090,2.0
AT_Bank,2019-06-30,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CY0090,CY0090,2.0
AT_Bank,2019-06-30,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CY0100,CY0100,2.0
AT_Bank,2019-06-30,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CY0120,CY0120,2.0
AT_Bank,2019-06-30,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CY0140,CY0140,2.0
ITTS_ENT_40,2019-06-30,IT,S122_A,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Name of TS_ENT_40,Street,City,10000,64,,,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CY0220,CY0220,2.0
AT_Bank,2019-06-30,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CY0220,CY0220,2.0
