CNTRCT_ID,DT_RFRNC,ENTTY_RL,INSTRMNT_ID,OBSRVD_AGNT_CD
C_0,2019-06-30,1,I_0,AT_Bank
C_0,2019-06-30,7,I_0,AT_Bank
1D_ONA_null,2019-06-30,1,JLA_null,AT_Bank
1D_ONA_0,2019-06-30,1,JLA_null,AT_Bank
1D_ONA_OK,2019-06-30,1,JLA_null,AT_Bank
1D_ONA_null,2019-06-30,1,JLA_0,AT_Bank
1D_ONA_0,2019-06-30,1,JLA_0,AT_Bank
1D_ONA_OK,2019-06-30,1,JLA_0,AT_Bank
1D_ONA_OK,2019-06-30,1,JLA_smaller,AT_Bank
1D_ONA_OK,2019-06-30,1,JLA_equal,AT_Bank
1D_ONA_OK,2019-06-30,1,JLA_greater,AT_Bank
2D_ONA_null,2019-06-30,1,JLA_null_1,AT_Bank
2D_ONA_0,2019-06-30,1,JLA_null_1,AT_Bank
2D_ONA_OK,2019-06-30,1,JLA_null_1,AT_Bank
2D_ONA_null,2019-06-30,1,JLA_0_1,AT_Bank
2D_ONA_0,2019-06-30,1,JLA_0_1,AT_Bank
2D_ONA_OK,2019-06-30,1,JLA_0_1,AT_Bank
3D_ONA_OK,2019-06-30,1,JLA_smaller_1,AT_Bank
3D_ONA_OK,2019-06-30,1,JLA_equal_1,AT_Bank
3D_ONA_OK,2019-06-30,1,JLA_greater_1,AT_Bank
3D_ONA_null,2019-06-30,1,JLA_null_all,AT_Bank
3D_ONA_0,2019-06-30,1,JLA_null_all,AT_Bank
3D_ONA_OK,2019-06-30,1,JLA_null_all,AT_Bank
3D_ONA_null,2019-06-30,1,JLA_0_all,AT_Bank
3D_ONA_0,2019-06-30,1,JLA_0_all,AT_Bank
3D_ONA_OK,2019-06-30,1,JLA_0_all,AT_Bank
3D_ONA_OK,2019-06-30,1,JLA_smaller_all,AT_Bank
3D_ONA_OK,2019-06-30,1,JLA_equal_all,AT_Bank
3D_ONA_OK,2019-06-30,1,JLA_greater_all,AT_Bank
