CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,ACCMLTD_CHNGS_FV_CR,ACCMLTD_IMPRMNT,ACCMLTD_WRTFFS,ACCNTNG_CLSSFCTN,CMLTV_RCVRS_SNC_DFLT,CRRYNG_AMNT,DT_FRBRNC_STTS,DT_PRFRMNG_STTS,FRBRNC_STTS,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_STTS,NEVS_ACCMLTD_CHNGS_FV_CR,NEVS_ACCMLTD_IMPRMNT,NEVS_ACCMLTD_WRTFFS,NEVS_ACCNTNG_CLSSFCTN,NEVS_CMLTV_RCVRS_SNC_DFLT,NEVS_CRRYNG_AMNT,NEVS_DT_FRBRNC_STTS,NEVS_DT_PRFRMNG_STTS,NEVS_FRBRNC_STTS,NEVS_IMPRMNT_ASSSSMNT_MTHD,NEVS_IMPRMNT_STTS,NEVS_PRDNTL_PRTFL,NEVS_PRFRMNG_STTS,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS_RCGNTN_STTS,NEVS_SRC_ENCMBRNC,PRDNTL_PRTFL,PRFRMNG_STTS,PRVSNS_OFF_BLNC_SHT,RCGNTN_STTS,SRC_ENCMBRNC,ruleid,errorcode,errorlevel
C_CN0420_ER1,2019-06-30,I_CN0420_ER1,AT_Bank,,,0,10,0.0,0,,2016-12-01,8,2,23,0,0,,,,,-5,,,,,,,,,,1,11,0.0,1,1,CN0470a,CN0470a,2.0
C_CN0470_ER1,2019-06-30,I_CN0470_ER1,AT_Bank,0.0,1000.0,0,10,0.0,0,,2016-12-01,8,,23,,,,,,,-5,,,0,,,,,,,1,11,0.0,1,1,CN0470b,CN0470b,2.0
C_CN0825_ER1,2019-06-30,I_CN0825_ER1,AT_Bank,0.0,0.0,0,10,0.0,0,,2016-12-01,8,1,,,,,,,,-5,,,,0,,,,,,1,11,0.0,1,1,CN0490a,CN0490a,2.0
C_CN0470_ER1,2019-06-30,I_CN0470_ER1,AT_Bank,0.0,1000.0,0,10,0.0,0,,2016-12-01,8,,23,,,,,,,-5,,,0,,,,,,,1,11,0.0,1,1,CN0490b,CN0490b,2.0
C_CN0825_ER1,2019-06-30,I_CN0825_ER1,AT_Bank,0.0,0.0,0,10,0.0,0,,2016-12-01,8,1,,,,,,,,-5,,,,0,,,,,,1,11,0.0,1,1,CN0825a,CN0825a,2.0
C_CN0420_ER1,2019-06-30,I_CN0420_ER1,AT_Bank,,,0,10,0.0,0,,2016-12-01,8,2,23,0,0,,,,,-5,,,,,,,,,,1,11,0.0,1,1,CN0825b,CN0825b,2.0
C_CN0852_ER1,2019-06-30,I_CN0852_ER1,AT_Bank,0.0,0.0,0,,0.0,0,,2016-12-01,8,1,21,,,,0,,,-5,,,,,,,,,,1,11,0.0,1,1,CN0852,CN0852,2.0
C_CN0865_ER1,2019-06-30,I_CN0865_ER1,AT_Bank,0.0,0.0,0,10,0.0,0,,2016-12-01,8,1,21,,,,,,,-5,,,,,0,,,,,,11,0.0,1,1,CN0865,CN0865,1.0
C_CN0540_ER1,2019-06-30,I_CN0540_ER1,AT_Bank,0.0,0.0,0,2,0.0,0,,2016-12-01,8,1,21,,,,,,,-5,,,,,,,,,,1,11,0.0,1,1,CN0930,CN0930,2.0
C_CN0930_ER1,2019-06-30,I_CN0930_ER1,AT_Bank,0.0,0.0,0,41,0.0,0,,2016-12-01,8,1,21,,,,,,,-5,,,,,,,,,,1,11,0.0,1,1,CN0930,CN0930,2.0
