OBS_VALUE,ENTTY_RIAD_CD,VLD_FRM,VLD_T,CONF,TYP_RQST,SOURCE,TRNSLTRTD_VL
"AT_Bank","AT_Bank",2016-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of AS_OA25","EEAS_OA25",2016-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of AS_OA30","EEAS_OA30",2016-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of AS_OA_BRA","FIAS_OA_BRA",2016-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of AS_OA_BRA","LVAS_OA_BRA",2016-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of TS_ENT_40","ITTS_ENT_40",1987-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of TS_ENT_41","ITTS_ENT_41",1987-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of TS_ENT_42","ITTS_ENT_42",1987-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of TS_ENT_43","ITTS_ENT_43",1987-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of TS_ENT_49","ITTS_ENT_49",1987-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of TS_ENT_60","ITTS_ENT_60",1987-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of TS_ENT_61","ITTS_ENT_61",1987-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of TS_ENT_62","ITTS_ENT_62",1987-01-01,9999-12-31,"F","UPDATE","STAT",""
"Name of TS_ENT_63","ITTS_ENT_63",1987-01-01,9999-12-31,"F","UPDATE","STAT",""
"Raiffeisen Invest Sh.A.","AL0ECBM00067",2012-06-20,9999-12-31,"F","UPDATE","STAT",""
