CNTRCT_ID,INSTRMNT_ID,PRTCTN_ALLCTD_VL,PRTCTN_ID,THRD_PRTY_PRRTY_CLMS,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,PAV_PRTCTN
C_0,I_0,100000,P_0,20000,AT_Bank,2019-06-30,,,100000.0
C_CN_CHNGS_OK,I_CN_CHNGS_OK,100000,P_CN_CHNGS_OK,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0010_ER1,I_CN0010_ER1,100000,P_CN0010_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0230_ER1,I_CN0230_ER1,100000,P_CN0230_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0230_OK1,I_CN0230_OK1,100000,P_CN0230_OK1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0510_ER1,I_CN0510_ER1,100000,P_CN0510_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0622_ER1,I_CN0622_ER1,100000,P_CN0622_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0660_ER1,I_CN0660_ER1,100000,P_CN0660_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0661_ER1,I_CN0661_ER1,100000,P_CN0661_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0661_OK1,I_CN0661_OK1,100000,P_CN0661_OK1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0811_ER1,I_CN0811_ER1,100000,P_CN0811_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0811_OK1,I_CN0811_OK1,100000,P_CN0811_OK1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0812_ER1,I_CN0812_ER1,100000,P_CN0812_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0812_OK1,I_CN0812_OK1,100000,P_CN0812_OK1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0813_ER1,I_CN0813_ER1,100000,P_CN0813_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0813_ER2,I_CN0813_ER2,100000,P_CN0813_ER2,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0813_OK1,I_CN0813_OK1,100000,P_CN0813_OK1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0831_ER1,I_CN0831_ER1,100000,P_CN0831_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0847_ER1,I_CN0847_ER1,100000,P_CN0847_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0868_ER1,I_CN0868_ER1,300000,P_CN0868_ER1,20000,AT_Bank,2019-06-30,,,300000.0
C_CN0960_ER1,I_CN0960_ER1,100000,P_CN0960_ER1,20000,AT_Bank,2019-06-30,,,100000.0
C_CN0950_ER1,I_CN0950_ER1,100000,P_CN0950_ER1,20000,AT_Bank,2019-06-30,,,100000.0
