CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,PRTCTN_ID,ORGNL_PRTCTN_VL_I3PPC,PRTCTN_VL_I3PPC,ORGNL_PRTCTN_VL_PAV,PRTCTN_VL_PAV
C_0,2019-06-30,I_0,AT_Bank,P_0,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN_CHNGS_OK,2019-06-30,I_CN_CHNGS_OK,AT_Bank,P_CN_CHNGS_OK,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0010_ER1,2019-06-30,I_CN0010_ER1,AT_Bank,P_CN0010_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0230_ER1,2019-06-30,I_CN0230_ER1,AT_Bank,P_CN0230_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0230_OK1,2019-06-30,I_CN0230_OK1,AT_Bank,P_CN0230_OK1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0510_ER1,2019-06-30,I_CN0510_ER1,AT_Bank,P_CN0510_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0622_ER1,2019-06-30,I_CN0622_ER1,AT_Bank,P_CN0622_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0660_ER1,2019-06-30,I_CN0660_ER1,AT_Bank,P_CN0660_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0661_ER1,2019-06-30,I_CN0661_ER1,AT_Bank,P_CN0661_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0661_OK1,2019-06-30,I_CN0661_OK1,AT_Bank,P_CN0661_OK1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0811_ER1,2019-06-30,I_CN0811_ER1,AT_Bank,P_CN0811_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0811_OK1,2019-06-30,I_CN0811_OK1,AT_Bank,P_CN0811_OK1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0812_ER1,2019-06-30,I_CN0812_ER1,AT_Bank,P_CN0812_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0812_OK1,2019-06-30,I_CN0812_OK1,AT_Bank,P_CN0812_OK1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0813_ER1,2019-06-30,I_CN0813_ER1,AT_Bank,P_CN0813_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0813_ER2,2019-06-30,I_CN0813_ER2,AT_Bank,P_CN0813_ER2,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0813_OK1,2019-06-30,I_CN0813_OK1,AT_Bank,P_CN0813_OK1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0831_ER1,2019-06-30,I_CN0831_ER1,AT_Bank,P_CN0831_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0847_ER1,2019-06-30,I_CN0847_ER1,AT_Bank,P_CN0847_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
C_CN0868_ER1,2019-06-30,I_CN0868_ER1,AT_Bank,P_CN0868_ER1,18750.0,12500.0,281250.0,187500.0
C_CN0960_ER1,2019-06-30,I_CN0960_ER1,AT_Bank,P_CN0960_ER1,50000.0,33333.333333333336,250000.0,166666.66666666666
