CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,CRDTR_CD,DBTR_CD,HD_QRTR_CD_CRDTR,HD_QRTR_CD_DBTR
C_0,2019-06-30,I_0,AT_Bank,AT_Bank,AL0ECBM00067,,
1D_ONA_null,2019-06-30,JLA_null,AT_Bank,AT_Bank,AL0ECBM00067,,
1D_ONA_0,2019-06-30,JLA_null,AT_Bank,AT_Bank,AL0ECBM00067,,
1D_ONA_OK,2019-06-30,JLA_null,AT_Bank,AT_Bank,AL0ECBM00067,,
1D_ONA_null,2019-06-30,JLA_0,AT_Bank,AT_Bank,AL0ECBM00067,,
1D_ONA_0,2019-06-30,JLA_0,AT_Bank,AT_Bank,AL0ECBM00067,,
1D_ONA_OK,2019-06-30,JLA_0,AT_Bank,AT_Bank,AL0ECBM00067,,
1D_ONA_OK,2019-06-30,JLA_smaller,AT_Bank,AT_Bank,AL0ECBM00067,,
1D_ONA_OK,2019-06-30,JLA_equal,AT_Bank,AT_Bank,AL0ECBM00067,,
1D_ONA_OK,2019-06-30,JLA_greater,AT_Bank,AT_Bank,AL0ECBM00067,,
2D_ONA_null,2019-06-30,JLA_null_1,AT_Bank,AT_Bank,EEAS_OA25,,
2D_ONA_0,2019-06-30,JLA_null_1,AT_Bank,AT_Bank,EEAS_OA25,,
2D_ONA_OK,2019-06-30,JLA_null_1,AT_Bank,AT_Bank,EEAS_OA25,,
2D_ONA_null,2019-06-30,JLA_0_1,AT_Bank,AT_Bank,EEAS_OA25,,
2D_ONA_0,2019-06-30,JLA_0_1,AT_Bank,AT_Bank,EEAS_OA25,,
2D_ONA_OK,2019-06-30,JLA_0_1,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_OK,2019-06-30,JLA_smaller_1,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_OK,2019-06-30,JLA_equal_1,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_OK,2019-06-30,JLA_greater_1,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_null,2019-06-30,JLA_null_all,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_0,2019-06-30,JLA_null_all,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_OK,2019-06-30,JLA_null_all,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_null,2019-06-30,JLA_0_all,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_0,2019-06-30,JLA_0_all,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_OK,2019-06-30,JLA_0_all,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_OK,2019-06-30,JLA_smaller_all,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_OK,2019-06-30,JLA_equal_all,AT_Bank,AT_Bank,EEAS_OA25,,
3D_ONA_OK,2019-06-30,JLA_greater_all,AT_Bank,AT_Bank,EEAS_OA25,,
