CNTRCT_ID,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,DT_RFRNC,int_var
C_0,AL0ECBM00067,I_0,AT_Bank,2019-06-30,1
1D_ONA_null,AL0ECBM00067,JLA_null,AT_Bank,2019-06-30,1
1D_ONA_0,AL0ECBM00067,JLA_null,AT_Bank,2019-06-30,1
1D_ONA_OK,AL0ECBM00067,JLA_null,AT_Bank,2019-06-30,1
1D_ONA_null,AL0ECBM00067,JLA_0,AT_Bank,2019-06-30,1
1D_ONA_0,AL0ECBM00067,JLA_0,AT_Bank,2019-06-30,1
1D_ONA_OK,AL0ECBM00067,JLA_0,AT_Bank,2019-06-30,1
1D_ONA_OK,AL0ECBM00067,JLA_smaller,AT_Bank,2019-06-30,1
1D_ONA_OK,AL0ECBM00067,JLA_equal,AT_Bank,2019-06-30,1
1D_ONA_OK,AL0ECBM00067,JLA_greater,AT_Bank,2019-06-30,1
