ACCOUNTING_ENTRY,ADJUSTMENT,COMP_METHOD,COUNTERPART_AREA,COUNTERPART_SECTOR,CURRENCY_DENOM,FLOW_STOCK_ENTRY,FREQ,FUNCTIONAL_CAT,INSTR_ASSET,INT_ACC_ITEM,MATURITY,REF_AREA,REF_SECTOR,TIME_PERIOD,UNIT_MEASURE,VALUATION,OBS_VALUE,imbalance,ruleid,errorcode,errorlevel
C,N,C,B5,S1,_T,T,Q,_Z,_Z,G2,_Z,BE,S1,2002-03-31,EUR,_X,825.0,-754.0,13,Primary income [INT_ACC_ITEM rule 'G2 = G21 + G22'],4
C,N,C,B5,S1,_T,T,Q,_Z,_Z,G2,_Z,BE,S1,2002-06-30,EUR,_X,584.0,-557.0,13,Primary income [INT_ACC_ITEM rule 'G2 = G21 + G22'],4
C,N,C,B5,S1,_T,T,Q,_Z,_Z,G2,_Z,BE,S1,2002-09-30,EUR,_X,998.0,-975.0,13,Primary income [INT_ACC_ITEM rule 'G2 = G21 + G22'],4
C,N,C,B5,S1,_T,T,Q,_Z,_Z,G2,_Z,BE,S1,2002-12-31,EUR,_X,834.0,-823.0,13,Primary income [INT_ACC_ITEM rule 'G2 = G21 + G22'],4
C,N,N,B5,S1,_T,T,Q,_Z,_Z,G2,_Z,BE,S1,2002-03-31,EUR,_X,825.0,-754.0,13,Primary income [INT_ACC_ITEM rule 'G2 = G21 + G22'],4
C,N,N,B5,S1,_T,T,Q,_Z,_Z,G2,_Z,BE,S1,2002-06-30,EUR,_X,584.0,-557.0,13,Primary income [INT_ACC_ITEM rule 'G2 = G21 + G22'],4
C,N,N,B5,S1,_T,T,Q,_Z,_Z,G2,_Z,BE,S1,2002-09-30,EUR,_X,998.0,-975.0,13,Primary income [INT_ACC_ITEM rule 'G2 = G21 + G22'],4
C,N,N,B5,S1,_T,T,Q,_Z,_Z,G2,_Z,BE,S1,2002-12-31,EUR,_X,834.0,-823.0,13,Primary income [INT_ACC_ITEM rule 'G2 = G21 + G22'],4
C,N,N,4A,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-03-31,EUR,_X,597.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
C,N,N,4A,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-06-30,EUR,_X,584.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
C,N,N,4A,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-12-31,EUR,_X,753.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
D,N,N,4A,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-03-31,EUR,_X,24.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
C,N,N,9A,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-12-31,EUR,_X,46.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
D,N,N,9A,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-06-30,EUR,_X,25.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
D,N,N,9A,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-12-31,EUR,_X,36.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
C,N,N,AT,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-03-31,EUR,_X,121.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
D,N,N,AT,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-03-31,EUR,_X,214.0,-1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
D,N,N,AT,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-06-30,EUR,_X,166.0,-2.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
D,N,N,AT,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-09-30,EUR,_X,183.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
D,N,N,AT,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-12-31,EUR,_X,181.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
C,N,N,B5,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-06-30,EUR,_X,11188.0,-1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
C,N,N,B5,S1,_T,T,Q,_Z,_Z,S,_Z,BE,S1,2002-12-31,EUR,_X,12325.0,1.0,16,Primary income [INT_ACC_ITEM rule 'S = SA + SB + SC + SD + SE + SF + SG + SH + SI + SJ + SK + SL + SN'],4
C,N,N,B5,S1,_T,T,Q,_Z,_Z,SJ,_Z,BE,S1,2002-03-31,EUR,_X,2625.0,1.0,18,Primary income [INT_ACC_ITEM rule 'SJ = SJ1 + SJ2 + SJ3'],4
C,N,N,B5,S1,_T,T,Q,_Z,_Z,SJ,_Z,BE,S1,2002-12-31,EUR,_X,3080.0,1.0,18,Primary income [INT_ACC_ITEM rule 'SJ = SJ1 + SJ2 + SJ3'],4
