COUNT_SECTOR,REF_DATE,REP_COUNTRY,OBS_VALUE
F,2018-12-31,CN,
I,2018-12-31,AU,377305.319
I,2018-12-31,FI,216963.104
U,2018-12-31,TR,
F,2018-12-31,US,1757110.0
U,2018-12-31,BM,
F,2018-12-31,GG,9200.682999999999
N,2018-12-31,CY,23818.841
U,2018-12-31,ID,
A,2018-12-31,5A,55588924.11
A,2018-12-31,KY,1275767.0
F,2018-12-31,BS,12386.57
F,2018-12-31,RU,87640.93
B,2018-12-31,KR,290511.538
N,2018-12-31,GR,30999.0
P,2018-12-31,SE,117666.493
B,2018-12-31,DE,1997255.0
N,2018-12-31,SE,175520.069
A,2018-12-31,ID,65525.221
A,2018-12-31,SG,1547922.0
P,2018-12-31,JP,1555184.719
P,2018-12-31,CY,14166.694000000001
U,2018-12-31,IT,-4075.904
F,2018-12-31,NL,246583.76499999998
A,2018-12-31,CW,23212.0
P,2018-12-31,HK,
F,2018-12-31,ZA,8720.0
I,2018-12-31,IM,39697.409
A,2018-12-31,HK,2864330.993
A,2018-12-31,TR,160369.43099999998
U,2018-12-31,BE,44596.656
F,2018-12-31,MY,
U,2018-12-31,MO,18158.559
U,2018-12-31,AT,29220.474
B,2018-12-31,LU,635689.325
I,2018-12-31,PH,8098.195000000001
F,2018-12-31,CH,355823.886
U,2018-12-31,NL,282423.41000000003
I,2018-12-31,PT,
U,2018-12-31,HK,
F,2018-12-31,DK,92409.75600000001
N,2018-12-31,IN,195626.535
U,2018-12-31,JE,
N,2018-12-31,CW,11791.0
P,2018-12-31,NO,60595.581000000006
U,2018-12-31,RU,3154.87
F,2018-12-31,BM,2128.026
P,2018-12-31,GB,1258181.0
I,2018-12-31,TW,175366.37199999997
B,2018-12-31,CH,875316.517
N,2018-12-31,MO,107273.034
A,2018-12-31,MY,174386.209
N,2018-12-31,NO,74512.405
B,2018-12-31,RU,118357.94
I,2018-12-31,GB,3159463.0
B,2018-12-31,ZA,59298.0
F,2018-12-31,IT,156550.386
B,2018-12-31,TW,311266.733
F,2018-12-31,ID,5751.463
I,2018-12-31,JP,1205733.138
U,2018-12-31,BS,2952.07
N,2018-12-31,PA,42870.04
N,2018-12-31,KY,424899.0
N,2018-12-31,5A,22542980.206
B,2018-12-31,BS,291131.556
F,2018-12-31,KR,40736.944
A,2018-12-31,PA,99471.32
B,2018-12-31,US,3441957.0
B,2018-12-31,CL,34010.017
I,2018-12-31,CY,9026.002
I,2018-12-31,CA,488491.571
A,2018-12-31,AT,430224.544
U,2018-12-31,ES,239812.486
P,2018-12-31,PT,46164.879
N,2018-12-31,TR,29922.309999999998
F,2018-12-31,ES,149235.826
B,2018-12-31,NL,813184.7250000001
F,2018-12-31,IE,81093.111
B,2018-12-31,IT,669329.799
A,2018-12-31,GB,9814457.0
A,2018-12-31,BM,11919.14
N,2018-12-31,BR,4070.0
I,2018-12-31,HK,1166131.605
A,2018-12-31,BE,800304.634
A,2018-12-31,CA,1328794.0699999998
A,2018-12-31,MX,39073.057
A,2018-12-31,NO,372202.26
U,2018-12-31,CH,3786.0500000000006
P,2018-12-31,MY,
U,2018-12-31,CY,180.071
N,2018-12-31,ES,348719.107
N,2018-12-31,JP,2831172.3
B,2018-12-31,MX,30198.083
U,2018-12-31,ZA,61.0
U,2018-12-31,SE,
A,2018-12-31,US,6094208.0
B,2018-12-31,BR,218461.0
A,2018-12-31,GR,78656.0
N,2018-12-31,MX,8874.973999999998
I,2018-12-31,ZA,27161.0
A,2018-12-31,AU,1148868.984
A,2018-12-31,BS,352531.10400000005
F,2018-12-31,PT,22112.218
A,2018-12-31,CL,45497.070999999996
F,2018-12-31,TW,97483.943
A,2018-12-31,FI,646455.74
B,2018-12-31,CA,598505.635
N,2018-12-31,GG,44871.726
I,2018-12-31,CH,369368.909
F,2018-12-31,IM,3325.198
U,2018-12-31,GB,968911.0
N,2018-12-31,TW,276114.941
N,2018-12-31,RU,196502.51
B,2018-12-31,ES,430284.099
B,2018-12-31,BH,123596.0
U,2018-12-31,GR,
U,2018-12-31,CN,
F,2018-12-31,DE,417211.0
I,2018-12-31,GG,175594.235
F,2018-12-31,AU,233738.65
B,2018-12-31,GR,47657.0
B,2018-12-31,PH,36560.992
A,2018-12-31,BH,264844.0
U,2018-12-31,FI,181102.30800000002
A,2018-12-31,DE,3806609.0
F,2018-12-31,TR,11541.572
U,2018-12-31,GG,1385.522
N,2018-12-31,AT,220323.13400000002
I,2018-12-31,BR,98636.0
P,2018-12-31,CH,445814.218
A,2018-12-31,IT,962643.4410000001
A,2018-12-31,RU,318015.32
N,2018-12-31,CA,556902.654
F,2018-12-31,FR,1426693.0
A,2018-12-31,JE,260384.0
P,2018-12-31,ZA,14122.0
P,2018-12-31,IN,
B,2018-12-31,GG,195805.03100000002
U,2018-12-31,IN,
A,2018-12-31,TW,597565.274
B,2018-12-31,ID,56037.289000000004
N,2018-12-31,ID,9465.644999999999
B,2018-12-31,GB,4729587.0
N,2018-12-31,FI,104503.852
F,2018-12-31,NO,13916.825
I,2018-12-31,SE,330254.52
B,2018-12-31,FI,348882.838
N,2018-12-31,BE,255740.83000000002
N,2018-12-31,GB,4115959.0
A,2018-12-31,CY,36889.494999999995
N,2018-12-31,BH,141248.0
A,2018-12-31,NL,1839713.865
B,2018-12-31,JE,178468.0
N,2018-12-31,BM,7494.054
N,2018-12-31,HK,1100121.3939999999
B,2018-12-31,AT,180680.936
N,2018-12-31,CN,1290640.6039999998
N,2018-12-31,PH,16365.102
U,2018-12-31,BR,
B,2018-12-31,HK,1764209.599
F,2018-12-31,LU,143520.326
P,2018-12-31,MO,88046.694
B,2018-12-31,CN,1123407.409
N,2018-12-31,IT,297389.546
A,2018-12-31,ES,1018815.6919999999
B,2018-12-31,BM,4425.085999999999
A,2018-12-31,JP,4998458.888
N,2018-12-31,JE,81916.0
B,2018-12-31,BE,499967.14800000004
A,2018-12-31,LU,1024302.392
I,2018-12-31,AT,65164.422
I,2018-12-31,MY,
I,2018-12-31,JE,158834.0
P,2018-12-31,KR,98319.055
U,2018-12-31,PT,9008.675
I,2018-12-31,BS,
F,2018-12-31,FI,49662.937
B,2018-12-31,PA,56601.259999999995
I,2018-12-31,TR,31315.733999999997
I,2018-12-31,BM,1940.1950000000002
B,2018-12-31,CW,11421.0
U,2018-12-31,LU,5808.969
P,2018-12-31,RU,108861.58
B,2018-12-31,KY,848479.0
F,2018-12-31,GB,2857777.0
I,2018-12-31,IN,
F,2018-12-31,CY,9652.148000000001
P,2018-12-31,DK,46420.459
A,2018-12-31,DK,402153.375
U,2018-12-31,AU,32818.799
I,2018-12-31,FR,1508531.0
