ACCOUNTING_ENTRY,ADJUSTMENT,COMP_METHOD,COUNTERPART_AREA,COUNTERPART_SECTOR,CURRENCY_DENOM,FLOW_STOCK_ENTRY,FREQ,FUNCTIONAL_CAT,INSTR_ASSET,INT_ACC_ITEM,MATURITY,REF_AREA,REF_SECTOR,TIME_PERIOD,UNIT_MEASURE,VALUATION,OBS_VALUE,ruleid,errorcode,errorlevel
C,N,C,B5,S1,_T,T,M,_Z,_Z,G,_Z,BE,S1,2019-06-30,EUR,_X,0,sign1c,sign1c,
C,N,N,B6,S1,X1,T,M,R,F,D4P,_Z,BE,S121,2019-06-30,EUR,_X,0,sign8c,sign8c,
C,N,N,J8,S1,_T,T,M,O,F,D4P,_Z,BE,S1,2019-06-30,EUR,_X,-1,sign8c,sign8c,
C,N,N,B6,S1,X1,T,M,R,F,D4P,_Z,BE,S121,2019-05-31,EUR,_X,0,sign8c,sign8c,
C,N,N,J8,S1,_T,T,M,O,F,D4P,_Z,BE,S1,2019-05-31,EUR,_X,-1,sign8c,sign8c,
C,N,N,B6,S1,X1,T,M,R,F,D4P,_Z,BE,S121,2019-04-30,EUR,_X,0,sign8c,sign8c,
C,N,N,J8,S1,_T,T,M,O,F,D4P,_Z,BE,S1,2019-04-30,EUR,_X,-3,sign8c,sign8c,
C,N,N,J8,S1,_T,T,M,O,FLA,D41,T,BE,S1,2019-06-30,EUR,_X,-7,sign12,sign12,
C,N,N,J8,S1,_T,T,M,O,FLA,D41,T,BE,S1,2019-05-31,EUR,_X,-7,sign12,sign12,
C,N,N,J8,S1,_T,T,M,O,FLA,D41,T,BE,S1,2019-04-30,EUR,_X,-8,sign12,sign12,
