CNTRCT_ID,INSTRMNT_ID,PRTCTN_ALLCTD_VL,PRTCTN_ID,THRD_PRTY_PRRTY_CLMS,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_THRD_PRTY_PRRTY_CLMS,NEVS_PRTCTN_ALLCTD_VL
C_CN0541,I_CN0541,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_CN0541a,I_CN0541a,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_CN0935,I_CN0935,185000.0,GUA_2,0,EEAS_OA30,2019-09-30,,
C_CN0935,I_CN0935,185000.0,G_PRTCTN_ALLCTD_VL,0,EEAS_OA30,2019-09-30,,
C_CN0935,I_CN0935,185000.0,GUA_4,0,EEAS_OA30,2019-09-30,,
C_CN0935,I_CN0935,133000.0,GUA_5,0,EEAS_OA30,2019-09-30,,
C_ANNLSD_AGRD_RT,I_ANNLSD_AGRD_RT,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_ARRRS_INSTRMNT,I_ARRRS_INSTRMNT,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_DT_FRBRNC_STTS,I_DT_FRBRNC_STTS,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_IG0010,I_IG0010,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_IG0011,I_IG0011,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_IG0012,I_IG0012,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_IG0090,I_IG0090,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_IG0190a,I_IG0190a,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_IG0190b,I_IG0190b,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_CY0110,I_CY0110,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_IG0010b,I_IG0010b,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_IG0011b,I_IG0011b,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_IG0012b,I_IG0012b,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
CCNTR_34,CINSTR_34,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
CCNTR_35,CINSTR_35,3375000.0,GUA_1,0,EEAS_OA30,2019-09-30,,
C_CN0945,I_CN0945,500000.0,GUA_6,0,EEAS_OA30,2019-09-30,,
C_CN0950,I_CN0950,500000.0,G_CN0950,0,EEAS_OA30,2019-09-30,,
C_CN0960a,I_CN0960a,500000.0,G_CN0960a,0,EEAS_OA30,2019-09-30,,
C_DT_NXT_INTRST_RT_RST,I_DT_NXT_INTRST_RT_RST,500000.0,GUA_9,0,EEAS_OA30,2019-09-30,,
C_ACCRD_INTRST_INSTRMNT,I_ACCRD_INTRST_INSTRMNT,500000.0,GUA_10,0,EEAS_OA30,2019-09-30,,
CCNTR_41,CINSTR_41,500000.0,GUA_11,0,EEAS_OA30,2019-09-30,,
CCNTR_42,CINSTR_42,500000.0,GUA_12,0,EEAS_OA30,2019-09-30,,
CCNTR_43,CINSTR_43,500000.0,GUA_13,0,EEAS_OA30,2019-09-30,,
CCNTR_44,CINSTR_44,500000.0,GUA_13,0,EEAS_OA30,2019-09-30,,
CCNTR_44,CINSTR_44,10050.0,GUA_14,0,EEAS_OA30,2019-09-30,,
C_CN0960b,I_CN0960b,36000000.0,GUA_15,0,EEAS_OA30,2019-09-30,,
C_CN0960b,I_CN0960b,36000000.0,G_CN0960b,0,EEAS_OA30,2019-09-30,,
CCNTR_46,CINSTR_46,36000000.0,GUA_15,0,EEAS_OA30,2019-09-30,,
CCNTR_46,CINSTR_46,36000000.0,G_CN0960b,0,EEAS_OA30,2019-09-30,,
CCNTR_47,CINSTR_47,36000000.0,GUA_15,0,EEAS_OA30,2019-09-30,,
CCNTR_47,CINSTR_47,36000000.0,G_CN0960b,0,EEAS_OA30,2019-09-30,,
CCNTR_48,CINSTR_48,36000000.0,G_CN0960a,0,EEAS_OA30,2019-09-30,,
CCNTR_49,CINSTR_49,36000000.0,G_CN0960a,0,EEAS_OA30,2019-09-30,,
CCNTR_51,CINSTR_51,2000000.0,GUA_17,0,EEAS_OA30,2019-09-30,,
C_ACCMLTD_IMPRMNT_INSTRMNT,I_ACCMLTD_IMPRMNT_INSTRMNT,36000000.0,GUA_15,0,EEAS_OA30,2019-09-30,,
C_ACCMLTD_IMPRMNT_INSTRMNT,I_ACCMLTD_IMPRMNT_INSTRMNT,36000000.0,G_CN0960b,0,EEAS_OA30,2019-09-30,,
CCNTR_58,CINSTR_58,36000000.0,GUA_15,0,EEAS_OA30,2019-09-30,,
CCNTR_58,CINSTR_58,36000000.0,G_CN0960b,0,EEAS_OA30,2019-09-30,,
CCNTR_59,CINSTR_59,36000000.0,GUA_15,0,EEAS_OA30,2019-09-30,,
CCNTR_59,CINSTR_59,36000000.0,G_CN0960b,0,EEAS_OA30,2019-09-30,,
C_IG0020,I_IG0020,133000.0,GUA_5,0,EEAS_OA30,2019-09-30,,
C_DT_END_INTRST_ONLY,I_DT_END_INTRST_ONLY,100000.0,GUA_18,20000,EEAS_OA30,2019-09-30,,
C_CN0620,I_CN0620,2000000.0,GUA_17,0,EEAS_OA30,2019-09-30,,
CCNTR_65,CINSTR_65,2000000.0,G_THRD_PRTY_PRRTY_CLMS,0,EEAS_OA30,2019-09-30,,
CCNTR_66,CINSTR_66,2000000.0,GUA_17,0,EEAS_OA30,2019-09-30,,
CCNTR_67,CINSTR_67,2000000.0,GUA_17,0,EEAS_OA30,2019-09-30,,
CCNTR_68,CINSTR_68,36000000.0,GUA_20,0,EEAS_OA30,2019-09-30,,
CCNTR_68,CINSTR_68,36000000.0,GUA_21,0,EEAS_OA30,2019-09-30,,
C_THRD_PRTY_PRRTY_CLMS,I_THRD_PRTY_PRRTY_CLMS,36000000.0,G_THRD_PRTY_PRRTY_CLMS,1000000000,EEAS_OA30,2019-09-30,,
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,100000.0,GUA_18,20000,EEAS_OA30,2019-09-30,,
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,100000.0,GUA_18,20000,EEAS_OA30,2019-09-30,,
C_PRTCTN_ALLCTD_VL,I_PRTCTN_ALLCTD_VL,400.0,GUA_2,0,EEAS_OA30,2019-09-30,,
C_PRTCTN_ALLCTD_VL,I_PRTCTN_ALLCTD_VL,1000000000.0,G_PRTCTN_ALLCTD_VL,0,EEAS_OA30,2019-09-30,,
C_PRTCTN_ALLCTD_VL,I_PRTCTN_ALLCTD_VL,500.0,GUA_4,0,EEAS_OA30,2019-09-30,,
C_PRTCTN_ALLCTD_VL,I_PRTCTN_ALLCTD_VL,250.0,GUA_5,0,EEAS_OA30,2019-09-30,,
CCNTR_74,CINSTR_74,100.0,GUA_2,0,EEAS_OA30,2019-09-30,,
CCNTR_74,CINSTR_74,200.0,G_PRTCTN_ALLCTD_VL,0,EEAS_OA30,2019-09-30,,
CCNTR_74,CINSTR_74,200.0,GUA_4,0,EEAS_OA30,2019-09-30,,
CCNTR_74,CINSTR_74,100.0,GUA_5,0,EEAS_OA30,2019-09-30,,
