CNTRCT_ID,ENTTY_RIAD_CD,ENTTY_RL,INSTRMNT_ID,OBSRVD_AGNT_CD,DT_RFRNC
C_CN0541,EEAS_OA30,1,I_CN0541,EEAS_OA30,2019-09-30
C_CN0541a,EEAS_OA30,1,I_CN0541a,EEAS_OA30,2019-09-30
C_DT_STTLMNT,EEAS_OA30,1,I_DT_STTLMNT,EEAS_OA30,2019-09-30
C_CN0935,EEAS_OA30,1,I_CN0935,EEAS_OA30,2019-09-30
C_CN0940,EEAS_OA30,1,I_CN0940,EEAS_OA30,2019-09-30
C_DT_PRFRMNG_STTS,EEAS_OA30,1,I_DT_PRFRMNG_STTS,EEAS_OA30,2019-09-30
C_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,1,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,2019-09-30
C_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,1,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,2019-09-30
CCNTR_16,EEAS_OA30,1,CINSTR_16,EEAS_OA30,2019-09-30
CCNTR_17,EEAS_OA30,1,CINSTR_17,EEAS_OA30,2019-09-30
CCNTR_18,EEAS_OA30,1,CINSTR_18,EEAS_OA30,2019-09-30
CCNTR_19,EEAS_OA30,1,CINSTR_19,EEAS_OA30,2019-09-30
C_ANNLSD_AGRD_RT,EEAS_OA30,1,I_ANNLSD_AGRD_RT,EEAS_OA30,2019-09-30
C_ARRRS_INSTRMNT,EEAS_OA30,1,I_ARRRS_INSTRMNT,EEAS_OA30,2019-09-30
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,1,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,2019-09-30
C_DT_FRBRNC_STTS,EEAS_OA30,1,I_DT_FRBRNC_STTS,EEAS_OA30,2019-09-30
C_IG0010,EEAS_OA30,1,I_IG0010,EEAS_OA30,2019-09-30
C_IG0011,EEAS_OA30,1,I_IG0011,EEAS_OA30,2019-09-30
C_IG0012,EEAS_OA30,1,I_IG0012,EEAS_OA30,2019-09-30
C_IG0090,EEAS_OA30,1,I_IG0090,EEAS_OA30,2019-09-30
C_IG0190a,EEAS_OA30,1,I_IG0190a,EEAS_OA30,2019-09-30
C_IG0190b,EEAS_OA30,1,I_IG0190b,EEAS_OA30,2019-09-30
C_CY0110,EEAS_OA30,1,I_CY0110,EEAS_OA30,2019-09-30
C_IG0010b,EEAS_OA30,1,I_IG0010b,EEAS_OA30,2019-09-30
C_IG0011b,EEAS_OA30,1,I_IG0011b,EEAS_OA30,2019-09-30
C_IG0012b,EEAS_OA30,1,I_IG0012b,EEAS_OA30,2019-09-30
CCNTR_34,EEAS_OA30,1,CINSTR_34,EEAS_OA30,2019-09-30
CCNTR_35,EEAS_OA30,1,CINSTR_35,EEAS_OA30,2019-09-30
C_CN0945,EEAS_OA30,1,I_CN0945,EEAS_OA30,2019-09-30
C_CN0950,EEAS_OA30,1,I_CN0950,EEAS_OA30,2019-09-30
C_CN0960a,EEAS_OA30,1,I_CN0960a,EEAS_OA30,2019-09-30
C_DT_NXT_INTRST_RT_RST,EEAS_OA30,1,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,2019-09-30
