ACCMLTD_CHNGS_FV_CR,ACCMLTD_IMPRMNT,ACCMLTD_WRTFFS,ACCNTNG_CLSSFCTN,CMLTV_RCVRS_SNC_DFLT,CNTRCT_ID,CRRYNG_AMNT,DT_FRBRNC_STTS,DT_PRFRMNG_STTS,FRBRNC_STTS,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_STTS,INSTRMNT_ID,NEVS_ACCMLTD_CHNGS_FV_CR,NEVS_ACCMLTD_IMPRMNT,NEVS_ACCNTNG_CLSSFCTN,NEVS_CMLTV_RCVRS_SNC_DFLT,NEVS_CRRYNG_AMNT,NEVS_DT_FRBRNC_STTS,NEVS_DT_PRFRMNG_STTS,NEVS_FRBRNC_STTS,NEVS_IMPRMNT_ASSSSMNT_MTHD,NEVS_IMPRMNT_STTS,NEVS_PRDNTL_PRTFL,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS_SRC_ENCMBRNC,PRDNTL_PRTFL,PRFRMNG_STTS,PRVSNS_OFF_BLNC_SHT,RCGNTN_STTS,SRC_ENCMBRNC,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_ACCMLTD_WRTFFS,NEVS_PRFRMNG_STTS,NEVS_RCGNTN_STTS
,0.0,0.0,10,,C_CN0541,22500.0,2019-09-25,2019-09-25,8,2,23,I_CN0541,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_CN0541a,22500.0,2019-09-25,2019-09-25,8,2,23,I_CN0541a,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,C_DT_STTLMNT,54.73,2018-11-11,2018-11-11,8,2,23,I_DT_STTLMNT,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_CN0935,99214.58,2019-03-28,2019-03-28,8,2,23,I_CN0935,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,C_CN0940,2860897.67,2019-02-28,2019-02-28,8,2,23,I_CN0940,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,C_DT_PRFRMNG_STTS,1134.31,,1901-01-01,8,2,23,I_DT_PRFRMNG_STTS,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,C_H_CRRYNG_AMNT_INSTRMNT,1000000000.0,,2008-11-11,8,2,23,I_H_CRRYNG_AMNT_INSTRMNT,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,C_L_CRRYNG_AMNT_INSTRMNT,-1000000000.0,,2008-11-11,8,2,23,I_L_CRRYNG_AMNT_INSTRMNT,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,CCNTR_16,54657.86,,2008-11-11,8,2,23,CINSTR_16,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,CCNTR_17,32464.5,,2008-11-11,8,2,23,CINSTR_17,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,CCNTR_18,3089.41,,2008-11-11,8,2,23,CINSTR_18,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,CCNTR_19,27678.22,,2008-11-11,8,2,23,CINSTR_19,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_ANNLSD_AGRD_RT,22500.0,2019-09-30,2019-09-30,8,2,23,I_ANNLSD_AGRD_RT,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_ARRRS_INSTRMNT,22500.0,2019-09-25,2019-09-25,8,2,23,I_ARRRS_INSTRMNT,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,22500.0,2019-09-25,2019-09-25,8,2,23,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,0,,,0,,,,,,,,,,2,11,1000000000.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_DT_FRBRNC_STTS,22500.0,1901-01-01,2019-09-25,8,2,23,I_DT_FRBRNC_STTS,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0010,22500.0,2019-09-25,2019-09-25,8,2,23,I_IG0010,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0011,22500.0,2019-09-25,2019-09-25,8,2,23,I_IG0011,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0012,22500.0,2019-09-25,2019-09-25,8,2,23,I_IG0012,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0090,22500.0,2019-09-25,2019-09-25,8,2,23,I_IG0090,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0190a,22500.0,2019-09-25,2019-09-25,8,2,23,I_IG0190a,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0190b,22500.0,2019-09-25,2019-09-25,8,2,23,I_IG0190b,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_CY0110,22500.0,2019-09-25,2019-09-25,8,2,23,I_CY0110,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0010b,22500.0,2019-09-25,2019-09-25,8,2,23,I_IG0010b,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0011b,22500.0,2019-09-25,2019-09-25,8,2,23,I_IG0011b,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0012b,22500.0,2019-09-25,2019-09-25,8,2,23,I_IG0012b,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,CCNTR_34,22500.0,2019-09-25,2019-09-25,8,2,23,CINSTR_34,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,CCNTR_35,22500.0,2019-09-25,2019-09-25,8,2,23,CINSTR_35,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,C_CN0945,834912.5,2017-11-16,2017-11-16,8,1,23,I_CN0945,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,C_CN0950,834912.5,2017-11-16,2017-11-16,8,1,23,I_CN0950,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,C_CN0960a,834912.5,2017-11-16,2017-11-16,8,1,23,I_CN0960a,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,C_DT_NXT_INTRST_RT_RST,834912.5,2017-11-16,2017-11-16,8,1,23,I_DT_NXT_INTRST_RT_RST,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,C_ACCRD_INTRST_INSTRMNT,834912.5,2017-11-16,2017-11-16,8,1,23,I_ACCRD_INTRST_INSTRMNT,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,CCNTR_41,834912.5,2017-11-16,2017-11-16,8,1,23,CINSTR_41,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,CCNTR_42,834912.5,2017-11-16,2017-11-16,8,1,23,CINSTR_42,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,CCNTR_43,834912.5,2017-11-16,2017-11-16,8,1,23,CINSTR_43,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,CCNTR_44,834912.5,2017-11-16,2017-11-16,8,1,23,CINSTR_44,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,34500.0,0.0,6,,C_CN0960b,68965500.0,2018-03-15,2018-03-15,8,1,23,I_CN0960b,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,34500.0,0.0,6,,CCNTR_46,68965500.0,2018-03-15,2018-03-15,8,1,23,CINSTR_46,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,34500.0,0.0,6,,CCNTR_47,68965500.0,2018-03-15,2018-03-15,8,1,23,CINSTR_47,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,CCNTR_48,834912.5,2017-11-16,2017-11-16,8,1,23,CINSTR_48,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,CCNTR_49,834912.5,2017-11-16,2017-11-16,8,1,23,CINSTR_49,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,CCNTR_50,2860897.67,2019-02-28,2019-02-28,8,2,23,CINSTR_50,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
