ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,CNTRCT_ID,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,INSTRMNT_ID,NEVS_ACCRD_INTRST,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_ANNLSD_AGRD_RT,NEVS_DT_NXT_INTRST_RT_RST,NEVS_ARRRS
1000.0,0.02,0.0,C_0,14,2016-08-01,2017-06-01,,I_0,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN_CHNGS_OK,14,2017-03-01,2017-06-01,,I_CN_CHNGS_OK,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,1000000.0,C_CN0010_ER1,14,2016-08-01,2017-06-01,2017-02-28,I_CN0010_ER1,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,1000000.0,C_CN0040_ER1,14,2016-08-01,2017-06-01,2017-02-28,I_CN0040_ER1,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,1000000.0,C_CN0050_ER1,14,2016-08-01,2017-06-01,2017-02-28,I_CN0050_ER1,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,1.0,0.0,C_CN0090_ER1,14,2016-08-01,2017-06-01,,I_CN0090_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.0,0.0,C_CN0100_ER1,14,2016-08-01,2017-06-01,,I_CN0100_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0130_ER1,14,2016-08-01,2017-06-01,,I_CN0130_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,1000000.0,C_CN0130_OK1,14,2016-08-01,2017-06-01,2017-02-28,I_CN0130_OK1,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0210_ER1,14,2016-08-01,2017-03-01,,I_CN0210_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0230_ER1,14,2016-08-01,2017-06-01,,I_CN0230_ER1,,,,0,,50000.0,1000000,0,6,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0230_OK1,14,2016-08-01,2017-06-01,,I_CN0230_OK1,,,,0,,50000.0,1000000,0,6,EEAS_OA26,2017-03-31,,,,,,
