ENTTY_RIAD_CD,DT_MTRTY_PRTCTN,DT_ORGNL_PRTCTN_VL,DT_PRTCTN_VL,NEVS_DT_MTRTY_PRTCTN,NEVS_DT_ORGNL_PRTCTN_VL,NEVS_DT_PRTCTN_VL,NEVS_ORGNL_PRTCTN_VL,NEVS_PRTCTN_PRVDR_CD,NEVS_PRTCTN_VL,NEVS_PRTCTN_VLTN_APPRCH,NEVS_RECL_CNTRY,NEVS_RECL_PSTL_CD,NEVS_RECL_TRRTRL_UNT,NEVS_RL_ESTT_CLLTRL_LCTN,NEVS_TYP_PRTCTN,NEVS_TYP_PRTCTN_VL,ORGNL_PRTCTN_VL,PRTCTN_PRVDR_CD,PRTCTN_VL,PRTCTN_VLTN_APPRCH,RECL_CNTRY,RECL_PSTL_CD,RECL_TRRTRL_UNT,RL_ESTT_CLLTRL_LCTN,TYP_PRTCTN,TYP_PRTCTN_VL
EEAS_ENT16,2021-08-10,2019-05-30,2019-05-30,0,,,,,,,-5,0,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,5,4
EEAS_ENT17,2021-08-10,2019-09-30,2019-09-30,,,,,,,,-5,0,-5,-5,,,185000.0,EEAS_ENT17,185000.0,4,,,,,5,4
EEAS_ENT18,2021-08-10,2019-09-30,2019-09-30,,,,,,,,-5,0,-5,-5,,,185000.0,EEAS_ENT18,185000.0,4,,,,,5,4
EEAS_ENT19,2021-08-10,2019-09-30,2019-09-30,,,,,,,,-5,0,-5,-5,,,185000.0,EEAS_ENT19,185000.0,4,,,,,5,4
EEAS_ENT20,2021-08-10,2019-02-28,2019-02-28,,,,,,,,,,-5,-5,,,133000.0,EEAS_ENT20,133000.0,5,LV,LV1000,,,10,3
DEB4PY7,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,0,,,500000.0,DEB4PY7,500000.0,4,,,,,8,4
DEBA32568564,2018-10-02,2018-09-27,2018-09-30,,,,,,,,-5,0,-5,-5,,,10050.0,DEBA32568564,10050.0,4,,,,,12,4
CZ11111112,,2018-03-15,2018-09-30,0,,,,,,,-5,0,-5,-5,,,36000000.0,CZ11111112,36000000.0,4,,,,,5,4
DEP8293X307,,2018-03-15,2018-09-30,0,,,,,,,-5,0,-5,-5,,,36000000.0,DEP8293X307,36000000.0,4,LV,LV1000,,1000,5,4
DEB5DXO,,2017-01-14,2018-09-30,0,,,,,,,,,-5,,,,1900000.0,DEB5DXO,2000000.0,4,LV,LV1000,,1000,10,3
EEE_DT_DFLT_STTS_ENTTY,2021-01-01,2010-01-01,2016-05-31,,,,,,,,-5,0,-5,-5,,,1000.0,EEE_DT_DFLT_STTS_ENTTY,15000.0,2,,,,,5,4
