ENTTY_RIAD_CD,DT_INCPTN,RCRS,TYP_INSTRMNT
EEAS_ENT01,2019-09-25,2,1004
EEAS_ENT02,2019-02-28,2,1004
EEAS_ENT03,2019-03-28,2,1004
EEAS_ENT04,2014-12-01,2,1000
EEAS_ENT05,2008-11-11,2,1000
EEAS_ENT06,2019-03-28,2,1002
EEAS_ENT07,2019-09-30,2,71
FR307615757,2019-09-25,2,1002
LT301694694,2019-09-25,2,1002
LV40003817773,2019-09-25,2,1002
ESB66706714,2019-09-25,2,1002
LUKEUFBDHF3988,2019-09-25,2,1002
LV40003229974,2019-09-25,2,1002
AT0000073932459,2019-09-25,2,1002
FR433378981,2019-09-25,2,1002
ITTS_ENT_61,2017-11-16,1,1004
DEB432O,2018-03-15,2,1004
DEBL1T9,2018-03-15,2,1004
DEB5DXO,2017-01-14,1,1004
ITTS_ENT_63 ,2015-06-12,1,1004
PL08682,2019-03-28,2,1002
ITTS_ENT_7,2019-03-28,2,1004
EEE_DT_DFLT_STTS_ENTTY,2010-01-01,2,1004
ITTS_ENT_6,2016-01-01,2,1004
DEAKENT,2017-09-11,1,1004
