CNTRCT_ID,INSTRMNT_ID,OBSRVD_AGNT_CD,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN
C_CN0541,I_CN0541,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_CN0541a,I_CN0541a,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_DT_STTLMNT,I_DT_STTLMNT,EEAS_OA30,0.0,0.0,0.0,14,2018-11-11,,,,,,,,0,0,0,,,,,54.73,0.0,7
C_CN0935,I_CN0935,EEAS_OA30,520.88,0.0992,0.0,14,2019-03-28,,,,,,,,0,0,,,,,86306.3,98693.7,0.0,7
C_CN0940,I_CN0940,EEAS_OA30,0.0,0.0,0.0,14,2019-02-28,,,,,,,,0,0,0,,,,,2860897.67,0.0,7
C_DT_PRFRMNG_STTS,I_DT_PRFRMNG_STTS,EEAS_OA30,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7
C_H_CRRYNG_AMNT_INSTRMNT,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,514822.62,0.0,7
C_L_CRRYNG_AMNT_INSTRMNT,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,2963356.79,0.0,7
CCNTR_16,CINSTR_16,EEAS_OA30,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,54657.86,0.0,7
CCNTR_17,CINSTR_17,EEAS_OA30,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,32464.5,0.0,7
CCNTR_18,CINSTR_18,EEAS_OA30,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,3089.41,0.0,7
CCNTR_19,CINSTR_19,EEAS_OA30,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,27678.22,0.0,7
C_ANNLSD_AGRD_RT,I_ANNLSD_AGRD_RT,EEAS_OA30,0.0,3.0,22500.0,14,2019-09-30,,2019-09-30,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_ARRRS_INSTRMNT,I_ARRRS_INSTRMNT,EEAS_OA30,0.0,0.0852,1000000000.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_DT_FRBRNC_STTS,I_DT_FRBRNC_STTS,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0010,I_IG0010,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0011,I_IG0011,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0012,I_IG0012,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0090,I_IG0090,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0190a,I_IG0190a,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0190b,I_IG0190b,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_CY0110,I_CY0110,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0010b,I_IG0010b,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0011b,I_IG0011b,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0012b,I_IG0012b,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
CCNTR_34,CINSTR_34,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
CCNTR_35,CINSTR_35,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_CN0945,I_CN0945,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2019-10-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
C_CN0950,I_CN0950,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2019-11-10,,,,,0,0,,0,0,,,,,850000.0,1.0,7
C_CN0960a,I_CN0960a,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
