CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,int_var
C_CN0541,2019-09-30,EEAS_ENT01,I_CN0541,EEAS_OA30,1
C_CN0541a,2019-09-30,EEAS_ENT01,I_CN0541a,EEAS_OA30,1
C_DT_STTLMNT,2019-09-30,EEAS_ENT02,I_DT_STTLMNT,EEAS_OA30,1
C_CN0935,2019-09-30,EEAS_ENT03,I_CN0935,EEAS_OA30,1
C_CN0940,2019-09-30,EEAS_ENT02,I_CN0940,EEAS_OA30,1
C_DT_PRFRMNG_STTS,2019-09-30,EEAS_ENT04,I_DT_PRFRMNG_STTS,EEAS_OA30,1
C_H_CRRYNG_AMNT_INSTRMNT,2019-09-30,EEAS_ENT05,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,1
C_L_CRRYNG_AMNT_INSTRMNT,2019-09-30,EEAS_ENT06,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,1
CCNTR_16,2019-09-30,EEAS_ENT06,CINSTR_16,EEAS_OA30,1
CCNTR_17,2019-09-30,EEAS_ENT05,CINSTR_17,EEAS_OA30,1
CCNTR_18,2019-09-30,EEAS_ENT05,CINSTR_18,EEAS_OA30,1
CCNTR_19,2019-09-30,EEAS_ENT06,CINSTR_19,EEAS_OA30,1
C_ANNLSD_AGRD_RT,2019-09-30,EEAS_ENT07,I_ANNLSD_AGRD_RT,EEAS_OA30,1
C_ARRRS_INSTRMNT,2019-09-30,EEAS_ENT07,I_ARRRS_INSTRMNT,EEAS_OA30,1
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,2019-09-30,EEAS_ENT07,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,1
C_DT_FRBRNC_STTS,2019-09-30,EEAS_ENT07,I_DT_FRBRNC_STTS,EEAS_OA30,1
C_IG0010,2019-09-30,FR307615757,I_IG0010,EEAS_OA30,1
C_IG0011,2019-09-30,LT301694694,I_IG0011,EEAS_OA30,1
C_IG0012,2019-09-30,LV40003817773,I_IG0012,EEAS_OA30,1
C_IG0090,2019-09-30,ESB66706714,I_IG0090,EEAS_OA30,1
C_IG0190a,2019-09-30,EEAS_ENT07,I_IG0190a,EEAS_OA30,1
C_IG0190b,2019-09-30,EEAS_ENT07,I_IG0190b,EEAS_OA30,1
C_CY0110,2019-09-30,LUKEUFBDHF3988,I_CY0110,EEAS_OA30,1
C_IG0010b,2019-09-30,LV40003229974,I_IG0010b,EEAS_OA30,1
C_IG0011b,2019-09-30,AT0000073932459,I_IG0011b,EEAS_OA30,1
C_IG0012b,2019-09-30,FR433378981,I_IG0012b,EEAS_OA30,1
CCNTR_34,2019-09-30,EEAS_ENT07,CINSTR_34,EEAS_OA30,1
CCNTR_35,2019-09-30,EEAS_ENT07,CINSTR_35,EEAS_OA30,1
C_CN0945,2019-09-30,ITTS_ENT_61,I_CN0945,EEAS_OA30,1
C_CN0950,2019-09-30,ITTS_ENT_61,I_CN0950,EEAS_OA30,1
C_CN0960a,2019-09-30,ITTS_ENT_61,I_CN0960a,EEAS_OA30,1
C_DT_NXT_INTRST_RT_RST,2019-09-30,ITTS_ENT_61,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,1
C_ACCRD_INTRST_INSTRMNT,2019-09-30,ITTS_ENT_61,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,1
CCNTR_41,2019-09-30,ITTS_ENT_61,CINSTR_41,EEAS_OA30,1
CCNTR_42,2019-09-30,ITTS_ENT_61,CINSTR_42,EEAS_OA30,1
CCNTR_43,2019-09-30,ITTS_ENT_61,CINSTR_43,EEAS_OA30,1
CCNTR_44,2019-09-30,ITTS_ENT_61,CINSTR_44,EEAS_OA30,1
CCNTR_48,2019-09-30,ITTS_ENT_61,CINSTR_48,EEAS_OA30,1
CCNTR_49,2019-09-30,ITTS_ENT_61,CINSTR_49,EEAS_OA30,1
CCNTR_50,2019-09-30,EEAS_ENT02,CINSTR_50,EEAS_OA30,1
CCNTR_51,2019-09-30,DEB5DXO,CINSTR_51,EEAS_OA30,1
C_ACCMLTD_WRTFFS_INSTRMNT,2019-09-30,ITTS_ENT_63 ,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,1
CCNTR_53,2019-09-30,EEAS_ENT04,CINSTR_53,EEAS_OA30,1
CCNTR_54,2019-09-30,EEAS_ENT04,CINSTR_54,EEAS_OA30,1
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,ITTS_ENT_63 ,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,1
CCNTR_56,2019-09-30,EEAS_ENT04,CINSTR_56,EEAS_OA30,1
C_DT_END_INTRST_ONLY,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,I_DT_END_INTRST_ONLY,EEAS_OA30,1
C_CN0620,2019-09-30,DEB5DXO,I_CN0620,EEAS_OA30,1
CCNTR_65,2019-09-30,ITTS_ENT_61,CINSTR_65,EEAS_OA30,1
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,1
CCNTR_71,2019-09-30,EEAS_ENT02,CINSTR_71,EEAS_OA30,1
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEAS_ENT02,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,1
C_IG0040,2019-09-30,DEAKENT,I_IG0040,EEAS_OA30,1
