CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,int_var,DFLT_STTS
C_CN0960b,2019-09-30,DEB432O,I_CN0960b,EEAS_OA30,2,14
CCNTR_46,2019-09-30,DEB432O,CINSTR_46,EEAS_OA30,2,14
CCNTR_47,2019-09-30,DEB432O,CINSTR_47,EEAS_OA30,2,14
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEB432O,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,2,14
CCNTR_58,2019-09-30,DEB432O,CINSTR_58,EEAS_OA30,2,14
CCNTR_59,2019-09-30,DEB432O,CINSTR_59,EEAS_OA30,2,14
CCNTR_66,2019-09-30,DEB432O,CINSTR_66,EEAS_OA30,3,14
CCNTR_67,2019-09-30,DEB432O,CINSTR_67,EEAS_OA30,3,14
CCNTR_68,2019-09-30,DEB432O,CINSTR_68,EEAS_OA30,2,14
C_CN0960b,2019-09-30,DEBL1T9,I_CN0960b,EEAS_OA30,2,14
CCNTR_46,2019-09-30,DEBL1T9,CINSTR_46,EEAS_OA30,2,14
CCNTR_47,2019-09-30,DEBL1T9,CINSTR_47,EEAS_OA30,2,14
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEBL1T9,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,2,14
CCNTR_58,2019-09-30,DEBL1T9,CINSTR_58,EEAS_OA30,2,14
CCNTR_59,2019-09-30,DEBL1T9,CINSTR_59,EEAS_OA30,2,14
CCNTR_66,2019-09-30,DEBL1T9,CINSTR_66,EEAS_OA30,3,14
CCNTR_67,2019-09-30,DEBL1T9,CINSTR_67,EEAS_OA30,3,14
CCNTR_68,2019-09-30,DEBL1T9,CINSTR_68,EEAS_OA30,2,14
C_IG0020,2019-09-30,ITTS_ENT_7,I_IG0020,EEAS_OA30,2,19
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_7,I_DT_LGL_FNL_MTRTY,EEAS_OA30,2,19
C_IG0070,2019-09-30,ITTS_ENT_7,I_IG0070,EEAS_OA30,2,19
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_6,I_DT_LGL_FNL_MTRTY,EEAS_OA30,2,18
C_IG0070,2019-09-30,ITTS_ENT_6,I_IG0070,EEAS_OA30,2,18
CCNTR_66,2019-09-30,DEB5DXO,CINSTR_66,EEAS_OA30,3,19
CCNTR_67,2019-09-30,DEB5DXO,CINSTR_67,EEAS_OA30,3,19
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,ITTS_ENT_61,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,4,14
