DT_RFRNC,OBSRVD_AGNT_CD,PRTCTN_ID,ENTTY_RIAD_CD
2019-09-30,EEAS_OA30,GUA_1,EEAS_ENT16
2019-09-30,EEAS_OA30,GUA_2,EEAS_ENT17
2019-09-30,EEAS_OA30,G_PRTCTN_ALLCTD_VL,EEAS_ENT18
2019-09-30,EEAS_OA30,GUA_4,EEAS_ENT19
2019-09-30,EEAS_OA30,GUA_5,EEAS_ENT20
2019-09-30,EEAS_OA30,GUA_6,DEB4PY7
2019-09-30,EEAS_OA30,G_CN0950,DEB4PY7
2019-09-30,EEAS_OA30,G_CN0960a,DEB4PY7
2019-09-30,EEAS_OA30,GUA_9,DEB4PY7
2019-09-30,EEAS_OA30,GUA_10,DEB4PY7
2019-09-30,EEAS_OA30,GUA_11,DEB4PY7
2019-09-30,EEAS_OA30,GUA_12,DEB4PY7
2019-09-30,EEAS_OA30,GUA_13,DEB4PY7
2019-09-30,EEAS_OA30,GUA_14,DEBA32568564
2019-09-30,EEAS_OA30,GUA_15,CZ11111112
2019-09-30,EEAS_OA30,G_CN0960b,DEP8293X307
2019-09-30,EEAS_OA30,GUA_17,DEB5DXO
2019-09-30,EEAS_OA30,GUA_18,EEE_DT_DFLT_STTS_ENTTY
2019-09-30,EEAS_OA30,G_THRD_PRTY_PRRTY_CLMS,EEAS_ENT16
2019-09-30,EEAS_OA30,GUA_20,CZ11111112
2019-09-30,EEAS_OA30,GUA_21,DEP8293X307
