CNTRCT_ID,ENTTY_RIAD_CD,INSTRMNT_ID,JNT_LBLTY_AMNT,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_JNT_LBLTY_AMNT,CD0060
C_0,ITTS_ENT_40,I_0,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0330_ER1,ITTS_ENT_40,I_CN0330_ER1,2000000.0,EEAS_OA26,2017-03-31,,False
C_CN0290_ER1,ITTS_ENT_40,I_CN0290_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0290_ER2,ITTS_ENT_40,I_CN0290_ER2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0290_OK1,ITTS_ENT_40,I_CN0290_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0640_ER1,ITTS_ENT_410,I_CN0640_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0640_OK1,ITTS_ENT_420,I_CN0640_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0640_OK2,ITTS_ENT_43,I_CN0640_OK2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0661_ER1,ITTS_ENT_40,I_CN0661_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0661_OK1,ITTS_ENT_40,I_CN0661_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0802_ER1,ITTS_ENT_40,I_CN0802_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0802_OK1,ITTS_ENT_40,I_CN0802_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0804_ER1,ITTS_ENT_40,I_CN0804_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0804_OK1,ITTS_ENT_40,I_CN0804_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0805_ER1,ITTS_ENT_40,I_CN0805_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0805_ER2,ITTS_ENT_40,I_CN0805_ER2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0805_OK1,ITTS_ENT_40,I_CN0805_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0806_ER1,ITTS_ENT_40,I_CN0806_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0806_ER2,ITTS_ENT_40,I_CN0806_ER2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0806_OK1,ITTS_ENT_40,I_CN0806_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0807_ER1,ITTS_ENT_40,I_CN0807_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0807_ER2,ITTS_ENT_40,I_CN0807_ER2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0807_OK1,ITTS_ENT_40,I_CN0807_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0808_ER1,ITTS_ENT_40,I_CN0808_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0808_OK1,ITTS_ENT_40,I_CN0808_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0808_OK2,ITTS_ENT_40,I_CN0808_OK2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0809_ER1,ITTS_ENT_40,I_CN0809_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0809_ER2,ITTS_ENT_40,I_CN0809_ER2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0809_OK1,ITTS_ENT_40,I_CN0809_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0810_ER1,ITTS_ENT_40,I_CN0810_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
