DT_RFRNC,ENTTY_RIAD_CD,OBSRVD_AGNT_CD,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_PD,PD,ACCNTNG_FRMWRK_SL,ANCRDT_DRGTN_QRTR_CR_OA,ANNL_TRNVR,BLNC_SHT_TTL,CNTRY,CTY,DT_BRTH,DT_ENTRPRS_SZ,DT_INTTN_LGL_PRCDNGS,ECNMC_ACTVTY,ENTRPRS_SZ,HD_OFFC_UNDRT_CD,HD_OFFC_UNDRT_CNTRY,IMMDT_PRNT_UNDRT_CD,INSTTTNL_SCTR,INSTTTNL_SCTR_DTL,LEI,LGL_FRM,LGL_PRCDNG_STTS,NMBR_EMPLYS,NM_ENTTY,PSTL_CD,SSMSIGNIFICANCE,STRT,TRRTRL_UNT,ULTMT_PRNT_UNDRT_CD
2017-03-31,ITTS_ENT_40,EEAS_OA26,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_41,EEAS_OA26,14,2100-01-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_42,EEAS_OA26,20,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,EEAS_OA30,EEAS_OA26,14,2010-07-02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,FIAS_OA_BRA,EEAS_OA26,14,2010-07-03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,LVAS_OA_BRA,EEAS_OA26,14,2010-07-04,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_49,EEAS_OA26,20,,,0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_60,EEAS_OA26,14,,,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_61,EEAS_OA26,,2010-07-01,-5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_62,EEAS_OA26,14,2010-07-01,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_63,EEAS_OA26,,2010-07-01,-5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_410,EEAS_OA26,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_420,EEAS_OA26,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_43,EEAS_OA26,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,ITTS_ENT_CN_CHNGS_OK,EEAS_OA26,14,2010-07-01,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
