CNTRCT_ID,INSTRMNT_ID,PRTCTN_ALLCTD_VL,PRTCTN_ID,THRD_PRTY_PRRTY_CLMS,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_THRD_PRTY_PRRTY_CLMS,NEVS_PRTCTN_ALLCTD_VL,CMMTMNT_INCPTN,CRRNCY_DNMNTN,DT_END_INTRST_ONLY,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_CMMTMNT_INCPTN,NEVS_DT_END_INTRST_ONLY,NEVS_DT_STTLMNT,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_FLR,NEVS_INTRST_RT_SPRD,NEVS_RFRNC_RT,NEVS_SYNDCTD_CNTRCT_ID,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT,NEVS_SBRDNTD_DBT,NEVS_DT_LGL_FNL_MTRTY,NEVS_CRRNCY_DNMNTN,NEVS_INTRST_RT_RST_FRQNCY,NEVS_RPYMNT_RGHTS,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_TYP_INSTRMNT,NEVS_PRPS,NEVS_RCRS,NEVS_DT_INCPTN,NEVS_PRJCT_FNNC_LN,NEVS_PYMNT_FRQNCY,NEVS_FDCRY,SYNDCTD_CNTRCT_ID,NEVS_TYP_INTRST_RT,NEVS_TYP_AMRTSTN,DT_MTRTY_PRTCTN,DT_ORGNL_PRTCTN_VL,DT_PRTCTN_VL,NEVS_RL_ESTT_CLLTRL_LCTN,ORGNL_PRTCTN_VL,PRTCTN_PRVDR_CD,PRTCTN_VL,PRTCTN_VLTN_APPRCH,RL_ESTT_CLLTRL_LCTN,TYP_PRTCTN,TYP_PRTCTN_VL,RECL_CNTRY,NEVS_RECL_PSTL_CD,NEVS_DT_PRTCTN_VL,NEVS_PRTCTN_VL,NEVS_DT_MTRTY_PRTCTN,NEVS_RECL_TRRTRL_UNT,RECL_PSTL_CD,NEVS_ORGNL_PRTCTN_VL,RECL_TRRTRL_UNT,NEVS_RECL_CNTRY,NEVS_DT_ORGNL_PRTCTN_VL,NEVS_TYP_PRTCTN_VL,NEVS_PRTCTN_PRVDR_CD,NEVS_PRTCTN_VLTN_APPRCH,NEVS_TYP_PRTCTN
C_0,I_0,100000.0,P_0,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN_CHNGS_OK,I_CN_CHNGS_OK,100000.0,P_CN_CHNGS_OK,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0010_ER1,I_CN0010_ER1,100000.0,P_CN0010_ER1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,2018-07-01,2100-01-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,,,,,,,0,2,9,1,2,100,2,2,2,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0230_ER1,I_CN0230_ER1,100000.0,P_CN0230_ER1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0230_OK1,I_CN0230_OK1,100000.0,P_CN0230_OK1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,4,1,,,,,,,,,,,,,,,
C_CN0510_ER1,I_CN0510_ER1,100000.0,P_CN0510_ER1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,4,1,,,,,,,,,,,,,,,
C_CN0622_ER1,I_CN0622_ER1,100000.0,P_CN0622_ER1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,EEAS_OA26,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0660_ER1,I_CN0660_ER1,100000.0,P_CN0660_ER1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2001-01-01,2016-12-01,2106-09-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0661_ER1,I_CN0661_ER1,100000.0,P_CN0661_ER1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0661_OK1,I_CN0661_OK1,100000.0,P_CN0661_OK1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0811_ER1,I_CN0811_ER1,100000.0,P_CN0811_ER1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-01-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0811_OK1,I_CN0811_OK1,100000.0,P_CN0811_OK1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-01-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0812_ER1,I_CN0812_ER1,100000.0,P_CN0812_ER1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-01-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
C_CN0812_OK1,I_CN0812_OK1,100000.0,P_CN0812_OK1,20000.0,EEAS_OA26,2017-03-31,,,2000000.0,EUR,,2016-07-01,2021-06-30,2016-01-01,2,0.0,0.1,0.01,8,0.02,,0,,,,,,0,2,9,1,2,100,2,2,3,1004,2,,,,,,,,,,,,,,,,,2021-07-01,2016-12-01,2017-04-01,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,,,,
