CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,ruleid,CMMTMNT_INCPTN,CRRNCY_DNMNTN,DT_END_INTRST_ONLY,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_CMMTMNT_INCPTN,NEVS_CRRNCY_DNMNTN,NEVS_DT_END_INTRST_ONLY,NEVS_DT_INCPTN,NEVS_DT_LGL_FNL_MTRTY,NEVS_DT_STTLMNT,NEVS_FDCRY,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_FLR,NEVS_INTRST_RT_RST_FRQNCY,NEVS_INTRST_RT_SPRD,NEVS_PRJCT_FNNC_LN,NEVS_PRPS,NEVS_PYMNT_FRQNCY,NEVS_RCRS,NEVS_RFRNC_RT,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_SYNDCTD_CNTRCT_ID,NEVS_TYP_AMRTSTN,NEVS_TYP_INSTRMNT,NEVS_TYP_INTRST_RT,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,SYNDCTD_CNTRCT_ID,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN,errorcode,errorlevel
C_CN0010_ER1,2017-03-31,I_CN0010_ER1,EEAS_OA26,CN0150,2000000.0,EUR,2018-07-01,2100-01-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,2,1004,2,1000.0,0.02,1000000.0,14,2016-08-01,2017-06-01,2017-02-28,,,,,,,,,,,,50000.0,1000000.0,0.0,7,CN0150,1.0
C_CN0010_ER1,2017-03-31,I_CN0010_ER1,EEAS_OA26,CN0160,2000000.0,EUR,2018-07-01,2100-01-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,2,1004,2,1000.0,0.02,1000000.0,14,2016-08-01,2017-06-01,2017-02-28,,,,,,,,,,,,50000.0,1000000.0,0.0,7,CN0160,2.0
C_CN0040_ER1,2017-03-31,I_CN0040_ER1,EEAS_OA26,CN0200,2000000.0,EUR,2018-07-01,2016-07-01,2021-06-30,2100-01-01,2,0.0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,2,1004,2,1000.0,0.02,1000000.0,14,2016-08-01,2017-06-01,2017-02-28,,,,,,,,,,,,50000.0,1000000.0,0.0,7,CN0200,1.0
C_CN0814_ER1,2017-03-31,I_CN0814_ER1,EEAS_OA26,CN0814,2000000.0,EUR,,2016-07-01,2021-06-30,,2,0.0,0.1,0.01,8,0.02,,,0,,,0,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,0.0,1000000.0,0.0,7,CN0814,3.0
C_CN0945_ER1,2017-03-31,I_CN0945_ER1,EEAS_OA26,CN0945,,EUR,,2016-07-01,2021-06-30,2016-07-02,2,0.0,0.1,0.01,8,0.02,0,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,0,,,,,1000000.0,0.0,7,CN0945,3.0
C_CN0130_ER1,2017-03-31,I_CN0130_ER1,EEAS_OA26,IG0120,2000000.0,EUR,,2016-07-01,2017-02-28,2016-07-01,2,0.0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000.0,0.0,7,IG0120,1.0
C_CN0090_ER1,2017-03-31,I_CN0090_ER1,EEAS_OA26,IG0130,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,1.0,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000.0,0.0,7,IG0130,1.0
C_CN0100_ER1,2017-03-31,I_CN0100_ER1,EEAS_OA26,IG0140,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.0,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000.0,0.0,7,IG0140,1.0
C_CN0010_ER1,2017-03-31,I_CN0010_ER1,EEAS_OA26,IG0180,2000000.0,EUR,2018-07-01,2100-01-01,2021-06-30,2016-07-01,2,0.0,0.1,0.01,8,0.02,,,,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,2,1004,2,1000.0,0.02,1000000.0,14,2016-08-01,2017-06-01,2017-02-28,,,,,,,,,,,,50000.0,1000000.0,0.0,7,IG0180,1.0
C_CN0913_ER1,2017-03-31,I_CN0913_ER1,EEAS_OA26,IG0190a,2000000.0,EUR,,2016-07-01,2021-06-30,2016-01-01,2,0.0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,0,,,0,,,,2,9,1,2,,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000.0,0.0,7,IG0190a,1.0
C_CN0920_ER1,2017-03-31,I_CN0920_ER1,EEAS_OA26,IG0190a,2000000.0,EUR,,2016-07-01,2021-06-30,2016-01-01,2,0.0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,0,,,0,,,,2,9,1,2,,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000.0,0.0,7,IG0190a,1.0
