CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,ENTTY_RIAD_CD,DFLT_STTS_INSTRMNT,NEVS_DFLT_STTS_INSTRMNT,DT_DFLT_STTS_INSTRMNT,NEVS_DT_DFLT_STTS_INSTRMNT,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,PD,NEVS_PD,CNTRY,DT_BRTH,INSTTTNL_SCTR_DTL,INSTTTNL_SCTR,LGL_FRM,HD_OFFC_UNDRT_CD,SSMSIGNIFICANCE,DT_INTTN_LGL_PRCDNGS,LGL_PRCDNG_STTS,DT_ENTRPRS_SZ,ENTRPRS_SZ,BLNC_SHT_TTL,ANNL_TRNVR,NMBR_EMPLYS,TRRTRL_UNT,IMMDT_PRNT_UNDRT_CD,ULTMT_PRNT_UNDRT_CD,LEI,NM_ENTTY,STRT,CTY,PSTL_CD,ECNMC_ACTVTY,ACCNTNG_FRMWRK_SL,ANCRDT_DRGTN_QRTR_CR_OA,HD_OFFC_UNDRT_CNTRY
C_CN0848_ER1,2017-03-31,I_CN0848_ER1,EEAS_OA26,FIAS_OA_BRA,14,,2016-08-01,,14,2010-07-03,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0848_ER3,2017-03-31,I_CN0848_ER3,EEAS_OA26,LVAS_OA_BRA,14,,2016-08-01,,14,2010-07-04,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0621_ER1,2017-03-31,I_CN0621_ER1,EEAS_OA26,EEAS_OA26,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_0,2017-03-31,I_0,EEAS_OA26,ITTS_ENT_40,14,,2016-08-01,,14,2010-07-01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0010_ER1,2017-03-31,I_CN0010_ER1,EEAS_OA26,ITTS_ENT_40,14,,2016-08-01,,14,2010-07-01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0040_ER1,2017-03-31,I_CN0040_ER1,EEAS_OA26,ITTS_ENT_40,14,,2016-08-01,,14,2010-07-01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0050_ER1,2017-03-31,I_CN0050_ER1,EEAS_OA26,ITTS_ENT_40,14,,2016-08-01,,14,2010-07-01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0090_ER1,2017-03-31,I_CN0090_ER1,EEAS_OA26,ITTS_ENT_40,14,,2016-08-01,,14,2010-07-01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0100_ER1,2017-03-31,I_CN0100_ER1,EEAS_OA26,ITTS_ENT_40,14,,2016-08-01,,14,2010-07-01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0130_ER1,2017-03-31,I_CN0130_ER1,EEAS_OA26,ITTS_ENT_40,14,,2016-08-01,,14,2010-07-01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
