CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,ruleid,ACCMLTD_CHNGS_FV_CR,ACCMLTD_IMPRMNT,ACCMLTD_WRTFFS,ACCNTNG_CLSSFCTN,CMLTV_RCVRS_SNC_DFLT,CRRYNG_AMNT,DT_FRBRNC_STTS,DT_PRFRMNG_STTS,FRBRNC_STTS,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_STTS,NEVS_ACCMLTD_CHNGS_FV_CR,NEVS_ACCMLTD_IMPRMNT,NEVS_ACCMLTD_WRTFFS,NEVS_ACCNTNG_CLSSFCTN,NEVS_CMLTV_RCVRS_SNC_DFLT,NEVS_CRRYNG_AMNT,NEVS_DT_FRBRNC_STTS,NEVS_DT_PRFRMNG_STTS,NEVS_FRBRNC_STTS,NEVS_IMPRMNT_ASSSSMNT_MTHD,NEVS_IMPRMNT_STTS,NEVS_PRDNTL_PRTFL,NEVS_PRFRMNG_STTS,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS_RCGNTN_STTS,NEVS_SRC_ENCMBRNC,PRDNTL_PRTFL,PRFRMNG_STTS,PRVSNS_OFF_BLNC_SHT,RCGNTN_STTS,SRC_ENCMBRNC,errorcode,errorlevel
C_IG0040,2019-09-30,I_IG0040,EEAS_OA30,CN0865,,,1000.0,10,,1000.0,,,,,,0,0,,,0,,-5,0,0,0,0,0,,0,,0,,1,,1,,CN0865,1.0
C_ACCMLTD_WRTFFS_INSTRMNT,2019-09-30,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,GCMA_TH_H_ACCMLTD_WRTFFS_INSTRMNT,,,1000000000.0,,150000.0,,,,,,,0,0,,0,,0,0,0,-5,0,0,0,,0,,-5,,1,,3,,GCMA_TH_H_ACCMLTD_WRTFFS_INSTRMNT,4.0
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,GCMA_TH_H_ACCMLTD_IMPRMNT_INSTRMNT,,1000000000.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,GCMA_TH_H_ACCMLTD_IMPRMNT_INSTRMNT,4.0
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,GCMA_TH_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,1000000000.0,10000.0,0.0,10,0.0,0.0,2013-01-01,2016-06-01,8,2,21,,,,,,,,,,,,,,,,,1,11,0.0,1,1,GCMA_TH_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,4.0
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,GCMA_TH_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,-1000000000.0,10000.0,0.0,10,0.0,0.0,2013-01-01,2016-06-01,8,2,21,,,,,,,,,,,,,,,,,1,11,0.0,1,1,GCMA_TH_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,4.0
C_DT_PRFRMNG_STTS,2019-09-30,I_DT_PRFRMNG_STTS,EEAS_OA30,GCMA_TH_L_DT_PRFRMNG_STTS,,0.0,0.0,14,,1134.31,,1901-01-01,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,GCMA_TH_L_DT_PRFRMNG_STTS,4.0
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,2019-09-30,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,GCMA_TH_H_PRVSNS_OFF_BLNC_SHT_INSTRMNT,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,1000000000.0,1,1,GCMA_TH_H_PRVSNS_OFF_BLNC_SHT_INSTRMNT,4.0
C_DT_FRBRNC_STTS,2019-09-30,I_DT_FRBRNC_STTS,EEAS_OA30,GCMA_TH_L_DT_FRBRNC_STTS,,0.0,0.0,6,,22500.0,1901-01-01,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,GCMA_TH_L_DT_FRBRNC_STTS,4.0
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,GCMA_TH_H_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,,,270000.0,,1000000000.0,,,,,,,0,0,,0,,0,0,0,-5,0,0,0,,0,,-5,,1,,3,,GCMA_TH_H_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,4.0
C_H_CRRYNG_AMNT_INSTRMNT,2019-09-30,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,GCMA_TH_H_CRRYNG_AMNT_INSTRMNT,,0.0,0.0,14,,1000000000.0,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,GCMA_TH_H_CRRYNG_AMNT_INSTRMNT,4.0
C_L_CRRYNG_AMNT_INSTRMNT,2019-09-30,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,GCMA_TH_L_CRRYNG_AMNT_INSTRMNT,,0.0,0.0,14,,-1000000000.0,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,GCMA_TH_L_CRRYNG_AMNT_INSTRMNT,4.0
