CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,ACCMLTD_CHNGS_FV_CR,ACCMLTD_IMPRMNT,ACCMLTD_WRTFFS,ACCNTNG_CLSSFCTN,CMLTV_RCVRS_SNC_DFLT,CRRYNG_AMNT,DT_FRBRNC_STTS,DT_PRFRMNG_STTS,FRBRNC_STTS,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_STTS,NEVS_ACCMLTD_CHNGS_FV_CR,NEVS_ACCMLTD_IMPRMNT,NEVS_ACCMLTD_WRTFFS,NEVS_ACCNTNG_CLSSFCTN,NEVS_CMLTV_RCVRS_SNC_DFLT,NEVS_CRRYNG_AMNT,NEVS_DT_FRBRNC_STTS,NEVS_DT_PRFRMNG_STTS,NEVS_FRBRNC_STTS,NEVS_IMPRMNT_ASSSSMNT_MTHD,NEVS_IMPRMNT_STTS,NEVS_PRDNTL_PRTFL,NEVS_PRFRMNG_STTS,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS_RCGNTN_STTS,NEVS_SRC_ENCMBRNC,PRDNTL_PRTFL,PRFRMNG_STTS,PRVSNS_OFF_BLNC_SHT,RCGNTN_STTS,SRC_ENCMBRNC,HD_OFFC_UNDRT_CD
C_CN0541,2019-09-30,I_CN0541,EEAS_OA30,,0.0,0.0,10,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_CN0541a,2019-09-30,I_CN0541a,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_DT_STTLMNT,2019-09-30,I_DT_STTLMNT,EEAS_OA30,,0.0,0.0,14,,54.73,2018-11-11,2018-11-11,8,2,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_CN0935,2019-09-30,I_CN0935,EEAS_OA30,,0.0,0.0,6,,99214.58,2019-03-28,2019-03-28,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_CN0940,2019-09-30,I_CN0940,EEAS_OA30,,0.0,0.0,14,,2860897.67,2019-02-28,2019-02-28,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_DT_PRFRMNG_STTS,2019-09-30,I_DT_PRFRMNG_STTS,EEAS_OA30,,0.0,0.0,14,,1134.31,,1901-01-01,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
C_H_CRRYNG_AMNT_INSTRMNT,2019-09-30,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,,0.0,0.0,14,,1000000000.0,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
C_L_CRRYNG_AMNT_INSTRMNT,2019-09-30,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,,0.0,0.0,14,,-1000000000.0,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
CCNTR_16,2019-09-30,CINSTR_16,EEAS_OA30,,0.0,0.0,14,,54657.86,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
CCNTR_17,2019-09-30,CINSTR_17,EEAS_OA30,,0.0,0.0,14,,32464.5,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
CCNTR_18,2019-09-30,CINSTR_18,EEAS_OA30,,0.0,0.0,14,,3089.41,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
CCNTR_19,2019-09-30,CINSTR_19,EEAS_OA30,,0.0,0.0,14,,27678.22,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
C_ANNLSD_AGRD_RT,2019-09-30,I_ANNLSD_AGRD_RT,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-30,2019-09-30,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_ARRRS_INSTRMNT,2019-09-30,I_ARRRS_INSTRMNT,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,2019-09-30,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,1000000000.0,1,1,
C_DT_FRBRNC_STTS,2019-09-30,I_DT_FRBRNC_STTS,EEAS_OA30,,0.0,0.0,6,,22500.0,1901-01-01,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_IG0010,2019-09-30,I_IG0010,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_IG0011,2019-09-30,I_IG0011,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
