ENTTY_RIAD_CD,PD,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_PD
ITTS_ENT_6,,EEAS_OA30,2019-09-30,
DEB4PY7,,EEAS_OA30,2019-09-30,
DEBA32568564,0.0003,EEAS_OA30,2019-09-30,
DEB432O,0.0025,EEAS_OA30,2019-09-30,
DEBL1T9,0.0075,EEAS_OA30,2019-09-30,
CZ11111112,1e-06,EEAS_OA30,2019-09-30,
DEP8293X307,0.007,EEAS_OA30,2019-09-30,
DEB5DXO,,EEAS_OA30,2019-09-30,
ITTS_ENT_63 ,1.0,EEAS_OA30,2019-09-30,
EEE_DT_DFLT_STTS_ENTTY,0.01,EEAS_OA30,2019-09-30,
PL08682,1e-06,EEAS_OA30,2019-09-30,
ITTS_ENT_7,0.01,EEAS_OA30,2019-09-30,
