CNTRCT_ID,ENTTY_RIAD_CD,INSTRMNT_ID,JNT_LBLTY_AMNT,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_JNT_LBLTY_AMNT
C_CN0960b,DEB432O,I_CN0960b,34500000.0,EEAS_OA30,2019-09-30,
C_CN0960b,DEBL1T9,I_CN0960b,34500000.0,EEAS_OA30,2019-09-30,
CCNTR_46,DEB432O,CINSTR_46,34500000.0,EEAS_OA30,2019-09-30,
CCNTR_46,DEBL1T9,CINSTR_46,34500000.0,EEAS_OA30,2019-09-30,
CCNTR_47,DEB432O,CINSTR_47,69000000.0,EEAS_OA30,2019-09-30,
CCNTR_47,DEBL1T9,CINSTR_47,69000000.0,EEAS_OA30,2019-09-30,
CCNTR_54,EEAS_ENT04,CINSTR_54,4434.31,EEAS_OA30,2019-09-30,
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,ITTS_ENT_63 ,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,0.0,EEAS_OA30,2019-09-30,
CCNTR_56,EEAS_ENT04,CINSTR_56,1000.0,EEAS_OA30,2019-09-30,
C_ACCMLTD_IMPRMNT_INSTRMNT,DEB432O,I_ACCMLTD_IMPRMNT_INSTRMNT,0.0,EEAS_OA30,2019-09-30,
C_ACCMLTD_IMPRMNT_INSTRMNT,DEBL1T9,I_ACCMLTD_IMPRMNT_INSTRMNT,69000000.0,EEAS_OA30,2019-09-30,
CCNTR_58,DEB432O,CINSTR_58,69100000.0,EEAS_OA30,2019-09-30,
CCNTR_58,DEBL1T9,CINSTR_58,69000000.0,EEAS_OA30,2019-09-30,
CCNTR_59,DEB432O,CINSTR_59,0.0,EEAS_OA30,2019-09-30,
CCNTR_59,DEBL1T9,CINSTR_59,0.0,EEAS_OA30,2019-09-30,
C_IG0020,PL08682,I_IG0020,0.0,EEAS_OA30,2019-09-30,
C_IG0020,ITTS_ENT_7,I_IG0020,0.0,EEAS_OA30,2019-09-30,
C_DT_LGL_FNL_MTRTY,ITTS_ENT_6,I_DT_LGL_FNL_MTRTY,500000.0,EEAS_OA30,2019-09-30,
C_DT_LGL_FNL_MTRTY,ITTS_ENT_7,I_DT_LGL_FNL_MTRTY,500000.0,EEAS_OA30,2019-09-30,
C_IG0070,ITTS_ENT_6,I_IG0070,0.0,EEAS_OA30,2019-09-30,
C_IG0070,ITTS_ENT_7,I_IG0070,0.0,EEAS_OA30,2019-09-30,
CCNTR_66,DEBL1T9,CINSTR_66,450000.0,EEAS_OA30,2019-09-30,
CCNTR_66,DEB432O,CINSTR_66,400000.0,EEAS_OA30,2019-09-30,
CCNTR_66,DEB5DXO,CINSTR_66,400000.0,EEAS_OA30,2019-09-30,
CCNTR_67,DEBL1T9,CINSTR_67,450000.0,EEAS_OA30,2019-09-30,
CCNTR_67,DEB432O,CINSTR_67,400000.0,EEAS_OA30,2019-09-30,
CCNTR_67,DEB5DXO,CINSTR_67,400000.0,EEAS_OA30,2019-09-30,
CCNTR_68,DEB432O,CINSTR_68,34500000.0,EEAS_OA30,2019-09-30,
CCNTR_68,DEBL1T9,CINSTR_68,34500000.0,EEAS_OA30,2019-09-30,
C_THRD_PRTY_PRRTY_CLMS,ITTS_ENT_61,I_THRD_PRTY_PRRTY_CLMS,212500.0,EEAS_OA30,2019-09-30,
C_THRD_PRTY_PRRTY_CLMS,EEAS_ENT01,I_THRD_PRTY_PRRTY_CLMS,212500.0,EEAS_OA30,2019-09-30,
C_THRD_PRTY_PRRTY_CLMS,EEAS_ENT02,I_THRD_PRTY_PRRTY_CLMS,212500.0,EEAS_OA30,2019-09-30,
C_THRD_PRTY_PRRTY_CLMS,EEAS_ENT03,I_THRD_PRTY_PRRTY_CLMS,212500.0,EEAS_OA30,2019-09-30,
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_ENT02,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,999999.0,EEAS_OA30,2019-09-30,
C_PRTCTN_ALLCTD_VL,EEAS_ENT03,I_PRTCTN_ALLCTD_VL,9700.7,EEAS_OA30,2019-09-30,
C_PRTCTN_ALLCTD_VL,EEAS_ENT06,I_PRTCTN_ALLCTD_VL,9700.7,EEAS_OA30,2019-09-30,
CCNTR_74,EEAS_ENT03,CINSTR_74,48000.7,EEAS_OA30,2019-09-30,
CCNTR_74,EEAS_ENT06,CINSTR_74,48000.7,EEAS_OA30,2019-09-30,
