CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,ENTTY_RL,INSTRMNT_ID,OBSRVD_AGNT_CD,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,ITTS_ENT_6,1,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,18,,,0
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_6,2,I_DT_LGL_FNL_MTRTY,EEAS_OA30,18,,,0
C_IG0070,2019-09-30,ITTS_ENT_6,2,I_IG0070,EEAS_OA30,18,,,0
C_IG0090,2019-09-30,ESB66706714,2,I_IG0090,EEAS_OA30,14,,,0
C_CN0945,2019-09-30,ITTS_ENT_61,2,I_CN0945,EEAS_OA30,14,,,0
C_CN0950,2019-09-30,ITTS_ENT_61,2,I_CN0950,EEAS_OA30,14,,,0
C_CN0960a,2019-09-30,ITTS_ENT_61,2,I_CN0960a,EEAS_OA30,14,,,0
C_DT_NXT_INTRST_RT_RST,2019-09-30,ITTS_ENT_61,2,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,14,,,0
C_ACCRD_INTRST_INSTRMNT,2019-09-30,ITTS_ENT_61,2,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,14,,,0
CCNTR_41,2019-09-30,ITTS_ENT_61,2,CINSTR_41,EEAS_OA30,14,,,0
CCNTR_42,2019-09-30,ITTS_ENT_61,2,CINSTR_42,EEAS_OA30,14,,,0
CCNTR_43,2019-09-30,ITTS_ENT_61,2,CINSTR_43,EEAS_OA30,14,,,0
CCNTR_44,2019-09-30,ITTS_ENT_61,2,CINSTR_44,EEAS_OA30,14,,,0
CCNTR_48,2019-09-30,ITTS_ENT_61,2,CINSTR_48,EEAS_OA30,14,,,0
CCNTR_49,2019-09-30,ITTS_ENT_61,2,CINSTR_49,EEAS_OA30,14,,,0
CCNTR_65,2019-09-30,ITTS_ENT_61,2,CINSTR_65,EEAS_OA30,14,,,0
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,ITTS_ENT_61,2,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,14,,,0
C_CN0960b,2019-09-30,DEB432O,2,I_CN0960b,EEAS_OA30,14,,,0
CCNTR_46,2019-09-30,DEB432O,2,CINSTR_46,EEAS_OA30,14,,,0
CCNTR_47,2019-09-30,DEB432O,2,CINSTR_47,EEAS_OA30,14,,,0
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEB432O,2,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,14,,,0
CCNTR_58,2019-09-30,DEB432O,2,CINSTR_58,EEAS_OA30,14,,,0
CCNTR_59,2019-09-30,DEB432O,2,CINSTR_59,EEAS_OA30,14,,,0
CCNTR_66,2019-09-30,DEB432O,2,CINSTR_66,EEAS_OA30,14,,,0
CCNTR_67,2019-09-30,DEB432O,2,CINSTR_67,EEAS_OA30,14,,,0
CCNTR_68,2019-09-30,DEB432O,2,CINSTR_68,EEAS_OA30,14,,,0
C_CN0960b,2019-09-30,DEBL1T9,2,I_CN0960b,EEAS_OA30,14,,,0
CCNTR_46,2019-09-30,DEBL1T9,2,CINSTR_46,EEAS_OA30,14,,,0
CCNTR_47,2019-09-30,DEBL1T9,2,CINSTR_47,EEAS_OA30,14,,,0
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEBL1T9,2,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,14,,,0
CCNTR_58,2019-09-30,DEBL1T9,2,CINSTR_58,EEAS_OA30,14,,,0
CCNTR_59,2019-09-30,DEBL1T9,2,CINSTR_59,EEAS_OA30,14,,,0
CCNTR_66,2019-09-30,DEBL1T9,2,CINSTR_66,EEAS_OA30,14,,,0
CCNTR_67,2019-09-30,DEBL1T9,2,CINSTR_67,EEAS_OA30,14,,,0
CCNTR_68,2019-09-30,DEBL1T9,2,CINSTR_68,EEAS_OA30,14,,,0
CCNTR_51,2019-09-30,DEB5DXO,2,CINSTR_51,EEAS_OA30,19,,,
C_CN0620,2019-09-30,DEB5DXO,2,I_CN0620,EEAS_OA30,19,,,
CCNTR_66,2019-09-30,DEB5DXO,2,CINSTR_66,EEAS_OA30,19,,,
CCNTR_67,2019-09-30,DEB5DXO,2,CINSTR_67,EEAS_OA30,19,,,
C_ACCMLTD_WRTFFS_INSTRMNT,2019-09-30,ITTS_ENT_63 ,2,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,19,,,
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,ITTS_ENT_63 ,2,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,19,,,
C_IG0020,2019-09-30,ITTS_ENT_7,2,I_IG0020,EEAS_OA30,19,,,
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_7,2,I_DT_LGL_FNL_MTRTY,EEAS_OA30,19,,,
C_IG0070,2019-09-30,ITTS_ENT_7,2,I_IG0070,EEAS_OA30,19,,,
C_DT_END_INTRST_ONLY,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,2,I_DT_END_INTRST_ONLY,EEAS_OA30,19,1900-01-01,,
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,2,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,19,1900-01-01,,
