CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,CD0050
C_DT_PRFRMNG_STTS,2019-09-30,I_DT_PRFRMNG_STTS,EEAS_OA30,True
C_H_CRRYNG_AMNT_INSTRMNT,2019-09-30,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,True
C_L_CRRYNG_AMNT_INSTRMNT,2019-09-30,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,True
CCNTR_16,2019-09-30,CINSTR_16,EEAS_OA30,True
CCNTR_17,2019-09-30,CINSTR_17,EEAS_OA30,True
CCNTR_18,2019-09-30,CINSTR_18,EEAS_OA30,True
CCNTR_19,2019-09-30,CINSTR_19,EEAS_OA30,True
C_CN0945,2019-09-30,I_CN0945,EEAS_OA30,True
C_CN0950,2019-09-30,I_CN0950,EEAS_OA30,True
C_CN0960a,2019-09-30,I_CN0960a,EEAS_OA30,True
C_DT_NXT_INTRST_RT_RST,2019-09-30,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,True
C_ACCRD_INTRST_INSTRMNT,2019-09-30,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,True
CCNTR_41,2019-09-30,CINSTR_41,EEAS_OA30,True
CCNTR_42,2019-09-30,CINSTR_42,EEAS_OA30,True
CCNTR_43,2019-09-30,CINSTR_43,EEAS_OA30,True
CCNTR_44,2019-09-30,CINSTR_44,EEAS_OA30,True
C_CN0960b,2019-09-30,I_CN0960b,EEAS_OA30,True
CCNTR_46,2019-09-30,CINSTR_46,EEAS_OA30,True
CCNTR_47,2019-09-30,CINSTR_47,EEAS_OA30,True
CCNTR_48,2019-09-30,CINSTR_48,EEAS_OA30,True
CCNTR_49,2019-09-30,CINSTR_49,EEAS_OA30,True
CCNTR_51,2019-09-30,CINSTR_51,EEAS_OA30,True
C_ACCMLTD_WRTFFS_INSTRMNT,2019-09-30,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,True
CCNTR_53,2019-09-30,CINSTR_53,EEAS_OA30,True
CCNTR_54,2019-09-30,CINSTR_54,EEAS_OA30,True
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,True
CCNTR_56,2019-09-30,CINSTR_56,EEAS_OA30,True
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,True
CCNTR_58,2019-09-30,CINSTR_58,EEAS_OA30,True
CCNTR_59,2019-09-30,CINSTR_59,EEAS_OA30,True
C_DT_END_INTRST_ONLY,2019-09-30,I_DT_END_INTRST_ONLY,EEAS_OA30,True
C_DT_LGL_FNL_MTRTY,2019-09-30,I_DT_LGL_FNL_MTRTY,EEAS_OA30,True
C_IG0070,2019-09-30,I_IG0070,EEAS_OA30,True
C_CN0620,2019-09-30,I_CN0620,EEAS_OA30,True
CCNTR_65,2019-09-30,CINSTR_65,EEAS_OA30,True
CCNTR_66,2019-09-30,CINSTR_66,EEAS_OA30,True
CCNTR_67,2019-09-30,CINSTR_67,EEAS_OA30,True
CCNTR_68,2019-09-30,CINSTR_68,EEAS_OA30,True
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,True
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,True
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,True
C_IG0040,2019-09-30,I_IG0040,EEAS_OA30,True
