CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,PRTCTN_ID,ruleid,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,THRD_PRTY_PRRTY_CLMS,DT_MTRTY_PRTCTN,DT_ORGNL_PRTCTN_VL,DT_PRTCTN_VL,NEVS_DT_MTRTY_PRTCTN,NEVS_DT_ORGNL_PRTCTN_VL,NEVS_DT_PRTCTN_VL,NEVS_ORGNL_PRTCTN_VL,NEVS_PRTCTN_PRVDR_CD,NEVS_PRTCTN_VL,NEVS_PRTCTN_VLTN_APPRCH,NEVS_RECL_CNTRY,NEVS_RECL_PSTL_CD,NEVS_RECL_TRRTRL_UNT,NEVS_RL_ESTT_CLLTRL_LCTN,NEVS_TYP_PRTCTN,NEVS_TYP_PRTCTN_VL,ORGNL_PRTCTN_VL,PRTCTN_PRVDR_CD,PRTCTN_VL,PRTCTN_VLTN_APPRCH,RECL_CNTRY,RECL_PSTL_CD,RECL_TRRTRL_UNT,RL_ESTT_CLLTRL_LCTN,TYP_PRTCTN,TYP_PRTCTN_VL,CD0050,CD0060,errorcode,errorlevel
C_CN0541,2019-09-30,I_CN0541,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_CN0541a,2019-09-30,I_CN0541a,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_ANNLSD_AGRD_RT,2019-09-30,I_ANNLSD_AGRD_RT,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_ARRRS_INSTRMNT,2019-09-30,I_ARRRS_INSTRMNT,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,2019-09-30,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_DT_FRBRNC_STTS,2019-09-30,I_DT_FRBRNC_STTS,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_IG0010,2019-09-30,I_IG0010,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_IG0011,2019-09-30,I_IG0011,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_IG0012,2019-09-30,I_IG0012,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_IG0090,2019-09-30,I_IG0090,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
C_IG0190a,2019-09-30,I_IG0190a,EEAS_OA30,GUA_1,CT0570,,,3375000.0,0,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,False,False,CT0570,2.0
