DT_RFRNC,OBSRVD_AGNT_CD,PRTCTN_ID,DT_MTRTY_PRTCTN,DT_ORGNL_PRTCTN_VL,DT_PRTCTN_VL,NEVS_DT_MTRTY_PRTCTN,NEVS_DT_ORGNL_PRTCTN_VL,NEVS_DT_PRTCTN_VL,NEVS_ORGNL_PRTCTN_VL,NEVS_PRTCTN_PRVDR_CD,NEVS_PRTCTN_VL,NEVS_PRTCTN_VLTN_APPRCH,NEVS_RECL_CNTRY,NEVS_RECL_PSTL_CD,NEVS_RECL_TRRTRL_UNT,NEVS_RL_ESTT_CLLTRL_LCTN,NEVS_TYP_PRTCTN,NEVS_TYP_PRTCTN_VL,ORGNL_PRTCTN_VL,PRTCTN_PRVDR_CD,PRTCTN_VL,PRTCTN_VLTN_APPRCH,RECL_CNTRY,RECL_PSTL_CD,RECL_TRRTRL_UNT,RL_ESTT_CLLTRL_LCTN,TYP_PRTCTN,TYP_PRTCTN_VL,MX_THRD_PRTY_PRRTY_CLMS,TTL_PRTCTN_ALLCTD_VL
2019-09-30,EEAS_OA30,GUA_1,2021-08-10,2019-05-30,2019-05-30,,,,,,,,,,-5,-5,,,4090000.0,EEAS_ENT16,4090000.0,5,LV,LV1000,,,10,2,0,60750000.0
2019-09-30,EEAS_OA30,GUA_2,2021-08-10,2019-09-30,2019-09-30,,,,,,,,-5,0,-5,-5,,,185000.0,EEAS_ENT17,185000.0,4,,,,,5,4,0,185500.0
2019-09-30,EEAS_OA30,G_PRTCTN_ALLCTD_VL,2021-08-10,2019-09-30,2019-09-30,,,,,,,,-5,0,-5,-5,,,185000.0,EEAS_ENT18,185000.0,4,,,,,5,4,0,1000185200.0
2019-09-30,EEAS_OA30,GUA_4,2021-08-10,2019-09-30,2019-09-30,,,,,,,,-5,0,-5,-5,,,185000.0,EEAS_ENT19,185000.0,4,,,,,5,4,0,185700.0
2019-09-30,EEAS_OA30,GUA_5,2021-08-10,2019-02-28,2019-02-28,,,,,,,,,,-5,-5,,,133000.0,EEAS_ENT20,133000.0,5,LV,LV1000,,,10,3,0,266350.0
2019-09-30,EEAS_OA30,GUA_6,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,-5,,,500000.0,DEB4PY7,500000.0,4,,,,,5,4,0,500000.0
2019-09-30,EEAS_OA30,G_CN0950,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,-5,,,500000.0,DEB4PY7,500000.0,4,,,,,5,4,0,500000.0
2019-09-30,EEAS_OA30,G_CN0960a,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,0,,,500000.0,DEB4PY7,500000.0,4,,,,,8,4,0,72500000.0
2019-09-30,EEAS_OA30,GUA_9,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,-5,,,500000.0,DEB4PY7,500000.0,4,,,,,5,4,0,500000.0
2019-09-30,EEAS_OA30,GUA_10,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,-5,,,500000.0,DEB4PY7,500000.0,4,,,,,5,4,0,500000.0
2019-09-30,EEAS_OA30,GUA_11,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,-5,,,500000.0,DEB4PY7,500000.0,4,,,,,5,4,0,500000.0
2019-09-30,EEAS_OA30,GUA_12,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,-5,,,500000.0,DEB4PY7,500000.0,4,,,,,5,4,0,500000.0
2019-09-30,EEAS_OA30,GUA_13,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,-5,,,500000.0,DEB4PY7,500000.0,4,,,,,5,4,0,1000000.0
2019-09-30,EEAS_OA30,GUA_14,2018-10-02,2018-09-27,2018-09-30,,,,,,,,-5,0,-5,-5,,,10050.0,DEBA32568564,10050.0,4,,,,,12,4,0,10050.0
2019-09-30,EEAS_OA30,GUA_15,,2018-03-15,2018-09-30,0,,,,,,,-5,0,-5,-5,,,36000000.0,CZ11111112,36000000.0,4,,,,,5,4,0,216000000.0
2019-09-30,EEAS_OA30,G_CN0960b,,2018-03-15,2018-09-30,0,,,,,,,-5,,-5,,,,36000000.0,DEP8293X307,36000000.0,4,LV,LV1000,,1000,5,4,0,216000000.0
2019-09-30,EEAS_OA30,GUA_17,,2017-01-14,2018-09-30,0,,,,,,,,,-5,,,,1900000.0,DEB5DXO,2000000.0,4,LV,LV1000,,1000,10,3,0,8000000.0
2019-09-30,EEAS_OA30,GUA_18,2021-01-01,2010-01-01,2016-05-31,,,,,,,,-5,0,-5,-5,,,1000.0,EEE_DT_DFLT_STTS_ENTTY,15000.0,2,,,,,5,4,20000,300000.0
2019-09-30,EEAS_OA30,G_THRD_PRTY_PRRTY_CLMS,,2017-11-16,2018-09-30,0,,,,,,,-5,0,-5,-5,,,1000000.0,EEAS_ENT16,1000000.0,4,,,,,5,4,1000000000,38000000.0
2019-09-30,EEAS_OA30,GUA_20,,2018-03-15,2018-09-30,0,,,,,,,-5,0,-5,-5,,,36000000.0,CZ11111112,36000000.0,4,,,,,5,4,0,36000000.0
2019-09-30,EEAS_OA30,GUA_21,,2018-03-15,2018-09-30,0,,,,,,,-5,0,-5,-5,,,36000000.0,DEP8293X307,36000000.0,4,,,,,5,4,0,36000000.0
