DT_RFRNC,ENTTY_RIAD_CD,OBSRVD_AGNT_CD,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_PD,PD
2019-09-30,ITTS_ENT_61,EEAS_OA30,14,,,0,,
2019-09-30,DEB4PY7,EEAS_OA30,14,,,0,,
2019-09-30,DEBA32568564,EEAS_OA30,14,,,0,,0.0003
2019-09-30,DEB432O,EEAS_OA30,14,,,0,,0.0025
2019-09-30,DEBL1T9,EEAS_OA30,14,,,0,,0.0075
2019-09-30,CZ11111112,EEAS_OA30,14,,,0,,1e-06
2019-09-30,DEP8293X307,EEAS_OA30,14,,,0,,0.007
2019-09-30,DEB5DXO,EEAS_OA30,19,,,,,
2019-09-30,ITTS_ENT_63 ,EEAS_OA30,19,,,,,1.0
2019-09-30,EEE_DT_DFLT_STTS_ENTTY,EEAS_OA30,19,1900-01-01,,,,0.01
2019-09-30,ESB66706714,EEAS_OA30,14,,,0,,
2019-09-30,ITTS_ENT_6,EEAS_OA30,18,,,0,,
2019-09-30,ITTS_ENT_7,EEAS_OA30,19,,,,,0.01
