CNTRCT_ID,INSTRMNT_ID,OBSRVD_AGNT_CD,CMMTMNT_INCPTN,CRRNCY_DNMNTN,DT_END_INTRST_ONLY,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_CMMTMNT_INCPTN,NEVS_CRRNCY_DNMNTN,NEVS_DT_END_INTRST_ONLY,NEVS_DT_INCPTN,NEVS_DT_LGL_FNL_MTRTY,NEVS_DT_STTLMNT,NEVS_FDCRY,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_FLR,NEVS_INTRST_RT_RST_FRQNCY,NEVS_INTRST_RT_SPRD,NEVS_PRJCT_FNNC_LN,NEVS_PRPS,NEVS_PYMNT_FRQNCY,NEVS_RCRS,NEVS_RFRNC_RT,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_SYNDCTD_CNTRCT_ID,NEVS_TYP_AMRTSTN,NEVS_TYP_INSTRMNT,NEVS_TYP_INTRST_RT,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,SYNDCTD_CNTRCT_ID,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT
C_CN0541,I_CN0541,EEAS_OA30,2250000.0,EUR,,2019-09-25,2021-09-10,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_CN0541a,I_CN0541a,EEAS_OA30,2250000.0,EUR,,2019-09-25,,,2,,,,,,,,0,,0,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_DT_STTLMNT,I_DT_STTLMNT,EEAS_OA30,,EUR,,2018-11-11,,1901-01-01,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
C_CN0935,I_CN0935,EEAS_OA30,185000.0,EUR,,2019-03-28,2021-03-10,2019-04-05,2,,,,,,,,0,,,,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_CN0940,I_CN0940,EEAS_OA30,,EUR,,2019-02-28,,2019-02-28,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1003,1
C_DT_PRFRMNG_STTS,I_DT_PRFRMNG_STTS,EEAS_OA30,,EUR,,2014-12-01,,2014-12-01,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
C_H_CRRYNG_AMNT_INSTRMNT,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
C_L_CRRYNG_AMNT_INSTRMNT,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
CCNTR_16,CINSTR_16,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
CCNTR_17,CINSTR_17,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
CCNTR_18,CINSTR_18,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
CCNTR_19,CINSTR_19,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
C_ANNLSD_AGRD_RT,I_ANNLSD_AGRD_RT,EEAS_OA30,2250000.0,EUR,,2019-09-30,2019-10-01,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_ARRRS_INSTRMNT,I_ARRRS_INSTRMNT,EEAS_OA30,2250000.0,EUR,,2019-09-25,2019-10-01,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,2250000.0,EUR,,2019-09-25,2019-10-20,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_DT_FRBRNC_STTS,I_DT_FRBRNC_STTS,EEAS_OA30,2250000.0,EUR,,2019-09-25,2019-11-16,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_IG0010,I_IG0010,EEAS_OA30,2250000.0,EUR,,2019-09-25,2020-01-15,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
