CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,CMMTMNT_INCPTN,CRRNCY_DNMNTN,DT_END_INTRST_ONLY,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_CMMTMNT_INCPTN,NEVS_CRRNCY_DNMNTN,NEVS_DT_END_INTRST_ONLY,NEVS_DT_INCPTN,NEVS_DT_LGL_FNL_MTRTY,NEVS_DT_STTLMNT,NEVS_FDCRY,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_FLR,NEVS_INTRST_RT_RST_FRQNCY,NEVS_INTRST_RT_SPRD,NEVS_PRJCT_FNNC_LN,NEVS_PRPS,NEVS_PYMNT_FRQNCY,NEVS_RCRS,NEVS_RFRNC_RT,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_SYNDCTD_CNTRCT_ID,NEVS_TYP_AMRTSTN,NEVS_TYP_INSTRMNT,NEVS_TYP_INTRST_RT,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,SYNDCTD_CNTRCT_ID,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN
C_CN0541,2019-09-30,I_CN0541,EEAS_OA30,2250000.0,EUR,,2019-09-25,2021-09-10,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_CN0541a,2019-09-30,I_CN0541a,EEAS_OA30,2250000.0,EUR,,2019-09-25,,,2,,,,,,,,0,,0,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_DT_STTLMNT,2019-09-30,I_DT_STTLMNT,EEAS_OA30,,EUR,,2018-11-11,,1901-01-01,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1,0.0,0.0,0.0,14,2018-11-11,,,,,,,,0,0,0,,,,,54.73,0.0,7
C_CN0935,2019-09-30,I_CN0935,EEAS_OA30,185000.0,EUR,,2019-03-28,2021-03-10,2019-04-05,2,,,,,,,,0,,,,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1,520.88,0.0992,0.0,14,2019-03-28,,,,,,,,0,0,,,,,86306.3,98693.7,0.0,7
C_CN0940,2019-09-30,I_CN0940,EEAS_OA30,,EUR,,2019-02-28,,2019-02-28,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1003,1,0.0,0.0,0.0,14,2019-02-28,,,,,,,,0,0,0,,,,,2860897.67,0.0,7
C_DT_PRFRMNG_STTS,2019-09-30,I_DT_PRFRMNG_STTS,EEAS_OA30,,EUR,,2014-12-01,,2014-12-01,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7
C_H_CRRYNG_AMNT_INSTRMNT,2019-09-30,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,514822.62,0.0,7
C_L_CRRYNG_AMNT_INSTRMNT,2019-09-30,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,2963356.79,0.0,7
CCNTR_16,2019-09-30,CINSTR_16,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,54657.86,0.0,7
CCNTR_17,2019-09-30,CINSTR_17,EEAS_OA30,,EUR,,2008-11-11,,2008-11-11,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,32464.5,0.0,7
