CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,int_var,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN
C_CN0541,2019-09-30,EEAS_ENT01,I_CN0541,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_CN0541a,2019-09-30,EEAS_ENT01,I_CN0541a,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_DT_STTLMNT,2019-09-30,EEAS_ENT02,I_DT_STTLMNT,EEAS_OA30,1,0.0,0.0,0.0,14,2018-11-11,,,,,,,,0,0,0,,,,,54.73,0.0,7
C_CN0935,2019-09-30,EEAS_ENT03,I_CN0935,EEAS_OA30,1,520.88,0.0992,0.0,14,2019-03-28,,,,,,,,0,0,,,,,86306.3,98693.7,0.0,7
C_CN0940,2019-09-30,EEAS_ENT02,I_CN0940,EEAS_OA30,1,0.0,0.0,0.0,14,2019-02-28,,,,,,,,0,0,0,,,,,2860897.67,0.0,7
C_DT_PRFRMNG_STTS,2019-09-30,EEAS_ENT04,I_DT_PRFRMNG_STTS,EEAS_OA30,1,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7
C_H_CRRYNG_AMNT_INSTRMNT,2019-09-30,EEAS_ENT05,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,514822.62,0.0,7
C_L_CRRYNG_AMNT_INSTRMNT,2019-09-30,EEAS_ENT06,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,2963356.79,0.0,7
CCNTR_16,2019-09-30,EEAS_ENT06,CINSTR_16,EEAS_OA30,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,54657.86,0.0,7
CCNTR_17,2019-09-30,EEAS_ENT05,CINSTR_17,EEAS_OA30,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,32464.5,0.0,7
CCNTR_18,2019-09-30,EEAS_ENT05,CINSTR_18,EEAS_OA30,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,3089.41,0.0,7
CCNTR_19,2019-09-30,EEAS_ENT06,CINSTR_19,EEAS_OA30,1,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,27678.22,0.0,7
C_ANNLSD_AGRD_RT,2019-09-30,EEAS_ENT07,I_ANNLSD_AGRD_RT,EEAS_OA30,1,0.0,3.0,22500.0,14,2019-09-30,,2019-09-30,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_ARRRS_INSTRMNT,2019-09-30,EEAS_ENT07,I_ARRRS_INSTRMNT,EEAS_OA30,1,0.0,0.0852,1000000000.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,2019-09-30,EEAS_ENT07,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_DT_FRBRNC_STTS,2019-09-30,EEAS_ENT07,I_DT_FRBRNC_STTS,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0010,2019-09-30,FR307615757,I_IG0010,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0011,2019-09-30,LT301694694,I_IG0011,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0012,2019-09-30,LV40003817773,I_IG0012,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0090,2019-09-30,ESB66706714,I_IG0090,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0190a,2019-09-30,EEAS_ENT07,I_IG0190a,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0190b,2019-09-30,EEAS_ENT07,I_IG0190b,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
