CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,DFLT_STTS_INSTRMNT,NEVS_DFLT_STTS_INSTRMNT,DT_DFLT_STTS_INSTRMNT,NEVS_DT_DFLT_STTS_INSTRMNT,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_PD,PD,ACCNTNG_FRMWRK_SL,ANCRDT_DRGTN_QRTR_CR_OA,ANNL_TRNVR,BLNC_SHT_TTL,CNTRY,CTY,DT_BRTH,DT_ENTRPRS_SZ,DT_INTTN_LGL_PRCDNGS,ECNMC_ACTVTY,ENTRPRS_SZ,HD_OFFC_UNDRT_CD,HD_OFFC_UNDRT_CNTRY,IMMDT_PRNT_UNDRT_CD,INSTTTNL_SCTR,INSTTTNL_SCTR_DTL,LEI,LGL_FRM,LGL_PRCDNG_STTS,NMBR_EMPLYS,NM_ENTTY,PSTL_CD,SSMSIGNIFICANCE,STRT,TRRTRL_UNT,ULTMT_PRNT_UNDRT_CD
C_CN0541,2019-09-30,EEAS_ENT01,I_CN0541,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0541a,2019-09-30,EEAS_ENT01,I_CN0541a,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_DT_STTLMNT,2019-09-30,EEAS_ENT02,I_DT_STTLMNT,EEAS_OA30,14,,2018-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0935,2019-09-30,EEAS_ENT03,I_CN0935,EEAS_OA30,14,,2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0940,2019-09-30,EEAS_ENT02,I_CN0940,EEAS_OA30,14,,2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_DT_PRFRMNG_STTS,2019-09-30,EEAS_ENT04,I_DT_PRFRMNG_STTS,EEAS_OA30,14,,2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_H_CRRYNG_AMNT_INSTRMNT,2019-09-30,EEAS_ENT05,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,14,,2008-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_L_CRRYNG_AMNT_INSTRMNT,2019-09-30,EEAS_ENT06,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,14,,2008-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_16,2019-09-30,EEAS_ENT06,CINSTR_16,EEAS_OA30,14,,2008-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_17,2019-09-30,EEAS_ENT05,CINSTR_17,EEAS_OA30,14,,2008-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_18,2019-09-30,EEAS_ENT05,CINSTR_18,EEAS_OA30,14,,2008-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_19,2019-09-30,EEAS_ENT06,CINSTR_19,EEAS_OA30,14,,2008-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_ANNLSD_AGRD_RT,2019-09-30,EEAS_ENT07,I_ANNLSD_AGRD_RT,EEAS_OA30,14,,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_ARRRS_INSTRMNT,2019-09-30,EEAS_ENT07,I_ARRRS_INSTRMNT,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,2019-09-30,EEAS_ENT07,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_DT_FRBRNC_STTS,2019-09-30,EEAS_ENT07,I_DT_FRBRNC_STTS,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_IG0010,2019-09-30,FR307615757,I_IG0010,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_IG0011,2019-09-30,LT301694694,I_IG0011,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
