DT_RFRNC,ENTTY_RIAD_CD,OBSRVD_AGNT_CD
2019-09-30,EEAS_ENT01,EEAS_OA30
2019-09-30,EEAS_ENT02,EEAS_OA30
2019-09-30,EEAS_ENT03,EEAS_OA30
2019-09-30,EEAS_ENT04,EEAS_OA30
2019-09-30,EEAS_ENT05,EEAS_OA30
2019-09-30,EEAS_ENT06,EEAS_OA30
2019-09-30,EEAS_ENT07,EEAS_OA30
2019-09-30,FR307615757,EEAS_OA30
2019-09-30,LT301694694,EEAS_OA30
2019-09-30,LV40003817773,EEAS_OA30
2019-09-30,ESB66706714,EEAS_OA30
2019-09-30,LUKEUFBDHF3988,EEAS_OA30
2019-09-30,LV40003229974,EEAS_OA30
2019-09-30,AT0000073932459,EEAS_OA30
2019-09-30,FR433378981,EEAS_OA30
2019-09-30,ITTS_ENT_61,EEAS_OA30
2019-09-30,DEB432O,EEAS_OA30
2019-09-30,DEBL1T9,EEAS_OA30
2019-09-30,DEB5DXO,EEAS_OA30
2019-09-30,ITTS_ENT_63 ,EEAS_OA30
2019-09-30,PL08682,EEAS_OA30
2019-09-30,ITTS_ENT_7,EEAS_OA30
2019-09-30,EEE_DT_DFLT_STTS_ENTTY,EEAS_OA30
2019-09-30,ITTS_ENT_6,EEAS_OA30
2019-09-30,DEAKENT,EEAS_OA30
2019-09-30,EEAS_ENT16,EEAS_OA30
2019-09-30,EEAS_ENT17,EEAS_OA30
2019-09-30,EEAS_ENT18,EEAS_OA30
2019-09-30,EEAS_ENT19,EEAS_OA30
2019-09-30,EEAS_ENT20,EEAS_OA30
2019-09-30,DEB4PY7,EEAS_OA30
2019-09-30,DEBA32568564,EEAS_OA30
2019-09-30,CZ11111112,EEAS_OA30
2019-09-30,DEP8293X307,EEAS_OA30
