CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,PRTCTN_ID,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,THRD_PRTY_PRRTY_CLMS,DT_MTRTY_PRTCTN,DT_ORGNL_PRTCTN_VL,DT_PRTCTN_VL,NEVS_DT_MTRTY_PRTCTN,NEVS_DT_ORGNL_PRTCTN_VL,NEVS_DT_PRTCTN_VL,NEVS_ORGNL_PRTCTN_VL,NEVS_PRTCTN_PRVDR_CD,NEVS_PRTCTN_VL,NEVS_PRTCTN_VLTN_APPRCH,NEVS_RECL_CNTRY,NEVS_RECL_PSTL_CD,NEVS_RECL_TRRTRL_UNT,NEVS_RL_ESTT_CLLTRL_LCTN,NEVS_TYP_PRTCTN,NEVS_TYP_PRTCTN_VL,ORGNL_PRTCTN_VL,PRTCTN_PRVDR_CD,PRTCTN_VL,PRTCTN_VLTN_APPRCH,RECL_CNTRY,RECL_PSTL_CD,RECL_TRRTRL_UNT,RL_ESTT_CLLTRL_LCTN,TYP_PRTCTN,TYP_PRTCTN_VL,CD0050,CD0060
C_0,2017-03-31,I_0,EEAS_OA26,P_0,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN_CHNGS_OK,2017-03-31,I_CN_CHNGS_OK,EEAS_OA26,P_CN_CHNGS_OK,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0010_ER1,2017-03-31,I_CN0010_ER1,EEAS_OA26,P_CN0010_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,False,False
C_CN0230_ER1,2017-03-31,I_CN0230_ER1,EEAS_OA26,P_CN0230_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0230_OK1,2017-03-31,I_CN0230_OK1,EEAS_OA26,P_CN0230_OK1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,4,1,True,False
C_CN0510_ER1,2017-03-31,I_CN0510_ER1,EEAS_OA26,P_CN0510_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,4,1,True,False
C_CN0622_ER1,2017-03-31,I_CN0622_ER1,EEAS_OA26,P_CN0622_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,EEAS_OA26,200000.0,1,,,,DEA11,10,1,True,False
C_CN0660_ER1,2017-03-31,I_CN0660_ER1,EEAS_OA26,P_CN0660_ER1,,,100000,20000,2001-01-01,2016-12-01,2106-09-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0661_ER1,2017-03-31,I_CN0661_ER1,EEAS_OA26,P_CN0661_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0661_OK1,2017-03-31,I_CN0661_OK1,EEAS_OA26,P_CN0661_OK1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
