DT_RFRNC,OBSRVD_AGNT_ID,PRTCTN_ID,INSTRMNT_ID,CNTRCT_ID,THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,PAV_PRTCTN,PAV_INSTMRNT,SHR_PAV_PRTCTN,SHR_PAV_INSTRMNT,OTHR_INSTRMNT_PAV_PRTCTN
2016-10-1,20642001,P_1,I_1,C_A,0,7000,7000.0,8000.0,1.0,0.875,0.0
2016-10-1,20642001,P_2,I_1,C_A,0,1000,1000.0,8000.0,1.0,0.125,0.0
2016-10-1,20642001,P_3,I_2,C_B,0,0,0.0,2500.0,0.0,0.0,0.0
2016-10-1,20642001,P_4,I_2,C_B,500,2500,2500.0,2500.0,1.0,1.0,0.0
2016-10-1,20642001,P_5,I_3,C_C,0,1500,1500.0,91500.0,1.0,0.01639344262295082,0.0
2016-10-1,20642001,P_6,I_3,C_C,0,90000,90000.0,91500.0,1.0,0.9836065573770492,0.0
2016-10-1,20642001,P_9,I_5,C_E,100000,45000,45000.0,85000.0,1.0,0.5294117647058824,0.0
2016-10-1,20642001,P_10,I_5,C_E,0,40000,40000.0,85000.0,1.0,0.47058823529411764,0.0
2016-10-1,20642001,P_11,I_6,C_F,0,100000,110000.0,100000.0,0.9090909090909091,1.0,10000.0
2016-10-1,20642001,P_11,I_7,C_G,20000,10000,110000.0,10000.0,0.09090909090909091,1.0,100000.0
