ENTTY_RIAD_CD,VLD_FRM,VLD_T,LGL_FRM
EEAS_OA25,2016-01-01,2262-04-11,EE206
EEAS_OA30,2016-01-01,2262-04-11,EE206
FIAS_OA_BRA,2016-01-01,2262-04-11,FI99
ITTS_ENT_40,2016-01-01,2262-04-11,IT999
ITTS_ENT_41,2016-01-01,2262-04-11,IT999
ITTS_ENT_42,2016-01-01,2262-04-11,IT999
ITTS_ENT_43,2016-01-01,2262-04-11,IT999
ITTS_ENT_49,2016-01-01,2262-04-11,IT999
ITTS_ENT_60,2016-01-01,2262-04-11,IT999
ITTS_ENT_61,2016-01-01,2262-04-11,IT999
ITTS_ENT_62,2016-01-01,2262-04-11,IT999
ITTS_ENT_63,2016-01-01,2262-04-11,IT999
LVAS_OA_BRA,2016-01-01,2262-04-11,LV903
