CNTRCT_ID,CRDTR_ID,DBTR_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,NXT_INTRST_RT_RST_DYS,ORGNL_MTRTY,RSDL_MTRTY,PST_D_DYS
C_0,AT_Bank,AL0ECBM00067,2019-06-30,I_0,AT_Bank,,1825.0,731.0,
1D_ONA_null,AT_Bank,AL0ECBM00067,2019-06-30,JLA_null,AT_Bank,,1825.0,731.0,
1D_ONA_0,AT_Bank,AL0ECBM00067,2019-06-30,JLA_null,AT_Bank,,1825.0,731.0,
1D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_null,AT_Bank,,1825.0,731.0,
1D_ONA_null,AT_Bank,AL0ECBM00067,2019-06-30,JLA_0,AT_Bank,,1825.0,731.0,
1D_ONA_0,AT_Bank,AL0ECBM00067,2019-06-30,JLA_0,AT_Bank,,1825.0,731.0,
1D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_0,AT_Bank,,1825.0,731.0,
1D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_smaller,AT_Bank,,1825.0,731.0,
1D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_equal,AT_Bank,,1825.0,731.0,
1D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_greater,AT_Bank,,1825.0,731.0,
2D_ONA_null,AT_Bank,AL0ECBM00067,2019-06-30,JLA_null_1,AT_Bank,,1825.0,731.0,
2D_ONA_null,AT_Bank,EEAS_OA25,2019-06-30,JLA_null_1,AT_Bank,,1825.0,731.0,
2D_ONA_0,AT_Bank,AL0ECBM00067,2019-06-30,JLA_null_1,AT_Bank,,1825.0,731.0,
2D_ONA_0,AT_Bank,EEAS_OA25,2019-06-30,JLA_null_1,AT_Bank,,1825.0,731.0,
2D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_null_1,AT_Bank,,1825.0,731.0,
2D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_null_1,AT_Bank,,1825.0,731.0,
2D_ONA_null,AT_Bank,AL0ECBM00067,2019-06-30,JLA_0_1,AT_Bank,,1825.0,731.0,
2D_ONA_null,AT_Bank,EEAS_OA25,2019-06-30,JLA_0_1,AT_Bank,,1825.0,731.0,
2D_ONA_0,AT_Bank,AL0ECBM00067,2019-06-30,JLA_0_1,AT_Bank,,1825.0,731.0,
2D_ONA_0,AT_Bank,EEAS_OA25,2019-06-30,JLA_0_1,AT_Bank,,1825.0,731.0,
2D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_0_1,AT_Bank,,1825.0,731.0,
2D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_0_1,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_smaller_1,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_smaller_1,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_equal_1,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_equal_1,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_greater_1,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_greater_1,AT_Bank,,1825.0,731.0,
3D_ONA_null,AT_Bank,AL0ECBM00067,2019-06-30,JLA_null_all,AT_Bank,,1825.0,731.0,
3D_ONA_null,AT_Bank,EEAS_OA25,2019-06-30,JLA_null_all,AT_Bank,,1825.0,731.0,
3D_ONA_0,AT_Bank,AL0ECBM00067,2019-06-30,JLA_null_all,AT_Bank,,1825.0,731.0,
3D_ONA_0,AT_Bank,EEAS_OA25,2019-06-30,JLA_null_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_null_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_null_all,AT_Bank,,1825.0,731.0,
3D_ONA_null,AT_Bank,AL0ECBM00067,2019-06-30,JLA_0_all,AT_Bank,,1825.0,731.0,
3D_ONA_null,AT_Bank,EEAS_OA25,2019-06-30,JLA_0_all,AT_Bank,,1825.0,731.0,
3D_ONA_0,AT_Bank,AL0ECBM00067,2019-06-30,JLA_0_all,AT_Bank,,1825.0,731.0,
3D_ONA_0,AT_Bank,EEAS_OA25,2019-06-30,JLA_0_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_0_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_0_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_smaller_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_smaller_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_equal_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_equal_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,AL0ECBM00067,2019-06-30,JLA_greater_all,AT_Bank,,1825.0,731.0,
3D_ONA_OK,AT_Bank,EEAS_OA25,2019-06-30,JLA_greater_all,AT_Bank,,1825.0,731.0,
