CMMTMNT_INCPTN,CNTRCT_ID,CRRNCY_DNMNTN,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INSTRMNT_ID,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_DT_END_INTRST_ONLY,NEVS_SYNDCTD_CNTRCT_ID,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_INTRST_RT_SPRD,NEVS_PRJCT_FNNC_LN,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_DT_STTLMNT,NEVS_RCRS,NEVS_CRRNCY_DNMNTN,SYNDCTD_CNTRCT_ID,NEVS_FDCRY,NEVS_PYMNT_FRQNCY,DT_END_INTRST_ONLY,NEVS_TYP_INSTRMNT,NEVS_DT_INCPTN,NEVS_TYP_AMRTSTN,NEVS_INTRST_RT_FLR,NEVS_TYP_INTRST_RT,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_CMMTMNT_INCPTN,NEVS_DT_LGL_FNL_MTRTY,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_RST_FRQNCY,NEVS_RFRNC_RT,NEVS_PRPS,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OTSTNDNG_NMNL_AMNT,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN,NEVS_ARRRS,NEVS_TRNSFRRD_AMNT,NEVS_ACCRD_INTRST,DT_PST_D,NEVS_DT_NXT_INTRST_RT_RST,NEVS_OFF_BLNC_SHT_AMNT,NEVS_DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_TYP_SCRTSTN,NEVS_ANNLSD_AGRD_RT
2000000,C_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,I_0,0.1,0.01,8,0.02,0,0,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,0,,50000,1000000.0,0,7,,,,,,,,,,
2000000,1D_ONA_null,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,0,0,50000,,0,7,,,,,,,,,,
2000000,1D_ONA_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,0.0,0,7,,,,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
2000000,1D_ONA_null,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,,0,7,,,,,,,,,,
2000000,1D_ONA_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,0.0,0,7,,,,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_smaller,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_equal,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_greater,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
