CNTRCT_ID,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,DT_RFRNC,int_var,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OTSTNDNG_NMNL_AMNT,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN,NEVS_ARRRS,NEVS_TRNSFRRD_AMNT,NEVS_ACCRD_INTRST,DT_PST_D,NEVS_DT_NXT_INTRST_RT_RST,NEVS_OFF_BLNC_SHT_AMNT,NEVS_DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_TYP_SCRTSTN,NEVS_ANNLSD_AGRD_RT
C_0,AL0ECBM00067,I_0,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,0,,50000,1000000.0,0,7,,,,,,,,,,
1D_ONA_null,AL0ECBM00067,JLA_null,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,0,0,50000,,0,7,,,,,,,,,,
1D_ONA_0,AL0ECBM00067,JLA_null,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,0.0,0,7,,,,,,,,,,
1D_ONA_OK,AL0ECBM00067,JLA_null,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
1D_ONA_null,AL0ECBM00067,JLA_0,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,,0,7,,,,,,,,,,
1D_ONA_0,AL0ECBM00067,JLA_0,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,0.0,0,7,,,,,,,,,,
1D_ONA_OK,AL0ECBM00067,JLA_0,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
1D_ONA_OK,AL0ECBM00067,JLA_smaller,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
1D_ONA_OK,AL0ECBM00067,JLA_equal,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
1D_ONA_OK,AL0ECBM00067,JLA_greater,AT_Bank,2019-06-30,1,1000,0.02,0,14,2016-08-01,2017-06-01,,,50000,1000000.0,0,7,,,,,,,,,,
